"","CustomerID","TransactionDate","Amount","ProductCategory"
"127",6085,2022-07-14,378.49,"Specialty Suite"
"128",1931,2023-03-06,443.58,"Standard"
"129",2011,2024-06-06,356.69,"Premier"
"130",6924,2023-05-19,444.92,"Suite"
"131",5642,2023-06-13,NA,"Standard"
"132",6740,22-10-20,353.87,"Standard"
"133",2346,7-01-20,285.94,"Standard"
"134",705,2022-12-10,378.51,"Specialty Suite"
"135",7536,2022-06-02,427.72,"Specialty Suite"
"136",4840,2022-12-07,395.46,"Standard"
"137",1970,2023-09-08,343.73,NA
"138",7356,2023-09-04,287.78,"Suite"
"139",5783,2024-07-24,389.88,"Premier"
"140",2848,2022-03-12,297.38,"Premier"
"141",7243,2022-06-14,NA,"Standard"
"142",1075,2024-06-23,387.64,"Specialty Suite"
"143",1581,2024-06-20,266.35,"Premier"
"144",2,2022-07-19,473.61,"Specialty Suite"
"145",6379,2024-02-01,171.69,"Specialty Suite"
"146",6836,2024-02-10,244.67,"Premier"
"147",4506,2023-02-15,263.81,"Specialty Suite"
"148",6925,2023-03-01,404.47,"Suite"
"149",1263,2022-03-22,385,"Standard"
"150",128,2023-05-02,321.5,"Specialty Suite"
"151",4086,2022-07-09,248.67,"Suite"
"152",6074,2024-06-23,367.68,"Specialty Suite"
"153",5209,2023-01-25,333.99,NA
"154",5601,2024-02-18,417.16,"Suite"
"155",4160,2023-08-08,357.07,"Premier"
"156",6331,2022-01-22,298.93,"Premier"
"157",3456,2023-02-25,408.01,"Specialty Suite"
"158",2660,2024-07-16,260.14,"Standard"
"160",6158,2022-08-02,181.19,"Premier"
"161",2343,2023-12-04,461.41,"Presidential"
"162",5567,2022-02-15,388.51,"Specialty Suite"
"163",1915,2022-05-29,294.57,"Premier"
"164",3659,2023-03-15,336.18,NA
"165",3582,2024-02-26,279.33,"Specialty Suite"
"166",3271,2022-05-27,NA,"Premier"
"167",5938,2023-02-20,374.99,"Specialty Suite"
"168",2534,2022-10-07,324.02,"Premier"
"169",4236,2022-02-25,433.32,"Presidential"
"170",2420,2024-05-21,326.88,"Premier"
"171",7298,2023-06-15,409.42,"Suite"
"172",930,2022-10-14,250.45,"Premier"
"173",5565,2023-03-19,539.21,"Specialty Suite"
"174",1796,28-04-20,452.05,"Specialty Suite"
"175",7976,2022-09-15,355.78,"Premier"
"176",629,2023-01-28,354.92,"Premier"
"177",2571,2022-03-23,460.62,"Standard"
"178",7280,2022-10-17,417.07,"Specialty Suite"
"179",6831,2024-05-03,377.82,"Premier"
"180",10,2024-03-08,232.25,"Specialty Suite"
"181",3059,2024-01-30,NA,NA
"182",7638,2022-05-26,243.6,"Standard"
"183",3939,2023-09-17,347.89,"Premier"
"184",4411,2024-07-15,370.47,"Standard"
"185",5353,2023-02-15,313.99,"Standard"
"186",891,2022-10-12,296.25,"Premier"
"187",5910,2024-06-22,226.47,"Standard"
"188",483,2023-11-19,294.33,"Specialty Suite"
"189",7789,2022-06-26,389.8,"Standard"
"190",2808,2023-04-16,285.78,"Suite"
"191",5612,2024-01-02,295.87,"Specialty Suite"
"192",1521,21-08-20,268.44,"Specialty Suite"
"193",6496,2024-07-22,445.8,"Premier"
"194",3275,2022-06-04,310.26,"Standard"
"195",7112,2023-10-20,377.14,"Premier"
"196",56,2023-03-11,361.52,"Specialty Suite"
"197",589,2023-08-02,331.04,"Specialty Suite"
"198",5022,2023-02-26,280.16,"Specialty Suite"
"199",6547,2023-02-28,296.67,"Suite"
"200",6573,2024-06-06,408.85,"Suite"
"201",1108,2024-03-17,465.98,"Specialty Suite"
"202",733,16-05-20,310.43,"Premier"
"203",5865,2022-07-16,548.74,"Specialty Suite"
"204",1663,2023-09-19,395.09,"Standard"
"205",1049,2023-12-31,460.58,"Premier"
"206",7465,2024-01-19,178.09,"Premier"
"207",3081,2023-12-11,NA,"Premier"
"208",7792,2023-08-10,301.36,NA
"209",4156,2023-05-23,392.52,"Standard"
"210",6965,2024-01-20,324.61,"Suite"
"211",5237,2023-09-26,280.79,"Standard"
"212",6587,2022-06-28,391.09,"Standard"
"213",6889,2023-10-03,355.07,"Suite"
"214",3656,2023-11-24,NA,"Premier"
"215",527,2023-09-09,325.45,"Specialty Suite"
"216",1817,2022-07-31,NA,"Standard"
"217",7720,2022-01-19,382.54,"Specialty Suite"
"218",4864,2023-01-30,474.56,"Suite"
"219",2320,2024-07-28,358.8,"Standard"
"220",7332,2023-06-03,283.03,"Premier"
"221",4064,2022-11-28,324.62,"Specialty Suite"
"222",5765,2022-08-05,462.15,"Suite"
"223",5663,2023-06-27,389.3,"Suite"
"224",3217,2024-07-02,455.02,"Standard"
"225",5167,2024-05-24,420.51,NA
"226",5305,2024-03-13,386.46,"Specialty Suite"
"227",7596,2024-06-05,331.32,"Premier"
"228",6181,2023-08-01,239.16,NA
"229",1875,2024-02-11,415.96,"Premier"
"230",3238,2022-09-05,460.14,"Presidential"
"231",5486,2022-01-12,447.54,"Presidential"
"232",2154,2023-11-30,374.88,"Specialty Suite"
"233",3026,2024-01-07,383.45,"Premier"
"234",978,2023-05-11,358.48,"Premier"
"235",3838,2024-05-31,350.35,"Specialty Suite"
"236",6238,2022-03-11,464.94,"Specialty Suite"
"237",5933,2023-01-15,447.13,"Suite"
"238",6747,2024-05-01,398.57,"Standard"
"239",6012,2023-12-29,319.87,"Specialty Suite"
"240",4012,2023-11-16,424.57,"Presidential"
"241",894,2022-11-27,315.74,"Specialty Suite"
"242",4532,2022-10-02,441.4,"Specialty Suite"
"243",4027,2023-09-07,395.07,"Specialty Suite"
"244",1352,2022-09-25,401.32,"Presidential"
"245",1375,2023-08-25,215.74,"Premier"
"246",7170,3-01-20,322.57,"Suite"
"247",1536,2022-08-12,350.39,"Suite"
"248",7297,2023-04-28,541.85,"Specialty Suite"
"249",5642,2023-10-29,346.56,"Specialty Suite"
"250",344,2024-05-02,364.85,"Standard"
"251",1099,2023-06-03,435.8,"Suite"
"252",4016,2023-06-12,398.6,"Specialty Suite"
"253",7451,2022-03-01,474.26,"Premier"
"254",4868,2022-05-31,299.27,"Specialty Suite"
"255",7033,2023-11-21,476.47,"Standard"
"256",2834,17-07-20,329.62,"Premier"
"257",477,2023-03-13,304.62,"Specialty Suite"
"258",1439,10-02-20,NA,"Standard"
"259",3415,2022-07-11,383.62,"Standard"
"260",6710,2024-06-20,417.29,"Suite"
"261",5439,2024-01-04,276.32,"Standard"
"262",2767,2022-02-26,331.45,"Suite"
"263",1906,2022-09-26,376.62,NA
"264",7147,2023-11-30,339.45,"Premier"
"265",1940,2023-04-22,407.54,"Premier"
"266",6759,2022-01-09,408.19,"Specialty Suite"
"267",2832,2022-01-30,537.03,"Specialty Suite"
"268",2999,2022-07-07,296.63,"Standard"
"269",5958,2022-11-07,356.01,"Premier"
"270",7928,2022-04-18,454.2,"Premier"
"271",1234,2024-03-09,307.26,"Premier"
"272",6584,2022-11-08,402.78,"Suite"
"273",4439,2022-04-21,340.43,"Premier"
"274",77,2023-07-02,390.02,"Specialty Suite"
"275",408,2024-07-28,340.57,"Premier"
"276",6196,2023-01-22,259.27,"Premier"
"277",3979,2023-07-03,568.61,"Suite"
"278",2880,2022-01-31,356.92,"Premier"
"279",7083,2024-04-26,359.95,"Specialty Suite"
"280",4138,2022-09-08,466.66,"Specialty Suite"
"281",6717,2023-11-30,409.91,"Suite"
"282",6565,2023-10-17,450.53,"Specialty Suite"
"283",1316,2022-12-05,372.72,"Standard"
"284",5645,2022-03-04,377.84,NA
"285",2154,2024-03-20,426.11,"Suite"
"286",2303,2023-01-18,297.48,"Specialty Suite"
"287",4264,2024-02-19,397.89,"Specialty Suite"
"288",2132,2023-09-23,330.96,"Standard"
"289",6841,2022-07-21,339.68,"Premier"
"290",4997,2022-01-08,480.47,"Suite"
"291",7841,2023-01-20,429.46,"Specialty Suite"
"292",3618,2023-02-20,329.44,"Premier"
"293",3334,2024-03-08,378.67,"Standard"
"295",7878,2022-07-15,445.34,"Suite"
"296",7172,2024-01-12,304.29,"Premier"
"297",1291,2023-10-26,358.42,"Premier"
"298",3327,2022-10-13,NA,"Premier"
"299",7878,2022-09-07,401.64,"Suite"
"300",6209,2022-02-10,510.11,"Suite"
"301",4797,2022-01-31,221.63,"Standard"
"302",3250,2023-05-23,446.85,"Suite"
"303",7882,2023-02-03,412.53,"Specialty Suite"
"304",7921,8-01-20,208.95,"Specialty Suite"
"305",5698,2023-05-18,331.93,"Specialty Suite"
"306",2936,2023-02-13,251.76,"Specialty Suite"
"307",4628,2022-11-19,393.87,"Specialty Suite"
"308",7703,2023-02-25,366.65,"Standard"
"309",35,2022-08-09,NA,"Standard"
"310",5696,2022-01-21,363.09,"Standard"
"311",5573,2023-10-23,387.85,"Specialty Suite"
"312",1059,2022-04-25,565.59,NA
"313",1277,2023-10-13,444.39,"Suite"
"314",3725,2022-10-29,363.52,"Standard"
"315",6930,2023-02-04,329.78,"Specialty Suite"
"316",2181,2023-05-30,315.72,"Standard"
"317",5714,2023-07-14,288.49,"Suite"
"318",924,2024-03-15,215.9,"Standard"
"319",7393,2024-02-21,406.52,"Suite"
"320",3536,2023-08-13,343.35,"Premier"
"321",4588,2022-03-05,226.51,"Premier"
"322",6466,2024-04-27,349.85,"Standard"
"323",3200,2022-03-30,400.41,"Specialty Suite"
"324",4802,2022-03-28,381.48,"Premier"
"325",743,2022-11-28,459.47,"Suite"
"326",1398,2023-03-10,508.85,"Suite"
"327",2957,2022-09-21,363.22,"Specialty Suite"
"328",4263,2023-09-11,254.28,"Specialty Suite"
"329",6502,2024-01-22,323.9,"Suite"
"330",5660,2022-06-29,379.62,"Suite"
"331",451,2022-03-17,365.3,"Standard"
"332",4136,2023-12-22,427.26,"Suite"
"333",127,2023-10-04,366.47,"Premier"
"334",1148,2024-04-04,348.59,"Premier"
"335",3031,2023-06-06,446.27,"Specialty Suite"
"336",726,2024-01-01,351.81,"Premier"
"337",4588,2022-03-08,530.63,"Specialty Suite"
"338",1090,2024-03-02,360.98,"Standard"
"339",2542,2024-02-06,402.31,"Suite"
"340",5875,2024-03-09,326.87,"Standard"
"341",6896,2023-02-28,343.56,"Premier"
"342",6440,2022-10-28,262.9,"Premier"
"343",1909,2022-06-28,406.07,"Specialty Suite"
"344",2417,2022-03-27,387.25,"Standard"
"345",3548,2022-10-25,306.56,"Standard"
"346",3570,2023-11-26,294.84,"Specialty Suite"
"347",2772,30-01-20,359.51,"Premier"
"348",3911,2022-05-18,221.01,"Standard"
"349",2491,2022-09-15,491.22,"Specialty Suite"
"350",6378,5-05-20,403.87,"Specialty Suite"
"351",5028,2023-05-31,239.5,"Premier"
"352",1361,2022-03-23,408.94,NA
"353",2053,2023-07-05,418.06,"Specialty Suite"
"354",2106,2022-09-04,295.81,"Standard"
"355",4412,2022-10-16,416.82,"Suite"
"356",226,2022-03-04,347.64,"Premier"
"357",683,2022-08-12,312.63,"Standard"
"358",3279,2024-02-17,515.8,"Specialty Suite"
"359",674,2023-07-08,420.94,"Premier"
"360",2298,2024-06-20,380.45,"Premier"
"361",6124,2022-06-01,442.85,"Standard"
"362",1030,2024-05-14,452.66,"Suite"
"363",1829,2023-01-03,415.55,"Specialty Suite"
"364",6901,2022-06-06,270.62,"Premier"
"365",3833,2023-06-17,423.79,"Suite"
"366",6850,2024-02-16,381.67,"Specialty Suite"
"367",4552,2023-05-23,400.58,"Suite"
"368",3153,2022-07-15,232.47,"Premier"
"369",7002,2022-07-30,315.41,"Suite"
"370",7117,2024-01-06,452.79,"Specialty Suite"
"371",2698,2023-11-23,247.19,"Premier"
"372",5993,2024-07-07,511.95,"Standard"
"373",2289,2023-09-10,434.45,"Suite"
"374",4658,2024-04-23,344.98,"Premier"
"375",5700,2022-06-16,336.81,"Premier"
"376",6472,2024-07-23,278.36,"Premier"
"377",2654,13-09-20,246.48,"Standard"
"378",1523,25-03-20,295.41,"Premier"
"379",2498,2024-06-26,393.89,"Standard"
"380",1415,2023-05-06,449.13,"Suite"
"381",1761,2023-08-06,458.64,"Suite"
"382",7560,2023-05-21,426.29,"Suite"
"383",3213,2023-03-27,400.76,NA
"384",4539,2023-03-08,396.82,"Standard"
"385",7289,22-10-20,393.54,"Specialty Suite"
"386",2787,2022-12-22,444.91,"Suite"
"387",1570,2023-05-09,353.26,"Specialty Suite"
"388",1751,2022-10-27,337.45,"Premier"
"389",6098,2023-10-18,341.96,NA
"390",4700,2022-04-18,336.09,"Specialty Suite"
"391",7037,2024-07-14,428.84,"Presidential"
"392",57,2023-03-01,427.29,"Specialty Suite"
"393",3671,2022-08-19,294.58,"Premier"
"394",5656,2022-11-23,334.2,"Standard"
"395",3864,2022-11-29,239.48,"Premier"
"396",2488,2023-01-25,336.8,"Specialty Suite"
"397",815,2024-05-23,303.95,"Specialty Suite"
"398",5394,2024-02-24,367.36,"Suite"
"399",4071,2023-08-12,522.26,NA
"400",1366,2022-10-13,324.7,"Standard"
"401",6601,2023-03-29,363.22,"Specialty Suite"
"402",5853,2022-11-25,434.7,"Suite"
"403",5559,2024-03-09,419.5,"Suite"
"404",5764,2023-06-29,393.38,"Standard"
"405",2998,22-12-20,375.97,"Specialty Suite"
"406",3038,2023-09-16,308.44,"Suite"
"407",5371,2024-03-29,330.23,"Premier"
"408",2550,2023-02-19,411.4,"Suite"
"409",1814,2023-06-18,394.74,"Premier"
"410",3230,2023-11-21,313.09,"Specialty Suite"
"411",7205,2024-04-21,329.58,"Specialty Suite"
"412",34,2022-06-14,274.68,"Premier"
"413",6189,2023-09-22,287.04,"Premier"
"414",1563,2022-09-19,454,"Specialty Suite"
"415",7059,2024-05-22,376.41,"Suite"
"416",2588,2022-03-16,339.46,"Specialty Suite"
"417",5670,2022-11-26,NA,NA
"418",3888,2023-09-20,264.41,"Specialty Suite"
"419",2054,2022-09-14,212.95,"Suite"
"420",6462,2023-11-22,301.01,"Specialty Suite"
"421",5086,2022-04-18,397.68,"Premier"
"422",3996,2023-04-22,486.98,"Suite"
"423",7237,2024-03-14,355.7,"Premier"
"424",786,2022-07-14,330.14,"Suite"
"425",1291,2022-06-06,395.19,"Standard"
"426",4167,2024-04-28,465.36,"Suite"
"427",6926,2023-01-29,480.69,"Premier"
"428",5396,24-06-20,324.45,"Specialty Suite"
"429",2356,2024-02-10,367.5,"Specialty Suite"
"430",4172,2023-10-17,396.66,"Specialty Suite"
"431",7244,2022-02-02,382.65,"Premier"
"432",2829,2022-09-18,406.61,"Suite"
"433",2282,2022-09-02,138.07,"Specialty Suite"
"434",709,2023-06-02,383.87,"Specialty Suite"
"435",1679,2024-05-05,386.25,"Premier"
"436",4048,2024-03-10,274.82,"Premier"
"437",4017,2022-02-19,367.61,"Premier"
"438",5137,2023-02-02,380.21,"Premier"
"439",5335,2022-06-06,384.05,"Standard"
"440",38,2023-01-23,343.47,"Specialty Suite"
"441",190,2022-04-13,334.21,"Premier"
"442",5568,2022-05-16,396.78,"Specialty Suite"
"443",5945,2022-02-08,228.44,"Premier"
"444",1491,2022-05-06,334.41,"Specialty Suite"
"445",5413,2023-02-21,296.56,"Specialty Suite"
"446",5873,2023-11-18,320.97,"Specialty Suite"
"447",401,2022-09-14,455.21,"Suite"
"448",4133,2023-01-06,283.38,"Standard"
"449",7686,2024-07-22,289.28,"Suite"
"450",2390,2022-08-03,348.45,"Premier"
"451",6983,2022-07-12,303.36,"Standard"
"452",7831,2022-11-13,403.29,"Specialty Suite"
"453",944,2024-02-08,352.6,"Suite"
"454",5283,2022-04-17,313.17,"Premier"
"455",4878,2022-11-01,417.41,"Suite"
"456",5056,2023-01-04,402.8,"Specialty Suite"
"457",6050,2024-06-22,249.02,"Standard"
"458",7621,2022-12-14,390.3,"Premier"
"459",1708,2022-03-07,393.32,"Suite"
"460",7160,2024-04-09,301.55,"Standard"
"461",5599,2023-05-22,NA,"Premier"
"462",3360,2022-10-17,339.39,"Specialty Suite"
"463",5602,2023-11-22,406.8,"Premier"
"464",438,2022-02-02,358.42,"Premier"
"465",4761,2022-05-27,388.8,"Standard"
"466",4963,2023-07-30,233.35,"Premier"
"467",3027,2024-07-28,417.22,"Specialty Suite"
"468",346,2023-08-06,420.04,"Suite"
"469",4898,2023-10-19,257.7,"Specialty Suite"
"470",2172,2022-11-15,347.33,"Standard"
"471",898,2022-12-21,424.96,"Specialty Suite"
"472",3268,2023-06-06,411.58,"Premier"
"473",2221,2022-09-25,376.72,"Standard"
"474",1322,2024-05-06,514.2,NA
"475",3236,2024-03-03,256.83,"Specialty Suite"
"476",989,2023-03-21,432.79,"Suite"
"477",6649,2023-01-08,251.69,"Premier"
"478",1198,2023-02-11,NA,"Specialty Suite"
"479",1075,2024-06-04,NA,NA
"480",3221,2022-09-16,319.74,"Specialty Suite"
"481",1539,2022-03-18,296.71,"Standard"
"482",4617,2024-05-05,282.06,"Suite"
"483",6940,2023-03-17,411.86,"Standard"
"484",2016,2023-08-23,366.44,"Specialty Suite"
"486",1017,2023-12-18,404.46,NA
"487",5793,2022-07-18,401.45,"Specialty Suite"
"488",5712,2023-11-12,256.22,"Suite"
"489",3733,2024-05-10,425.15,NA
"490",4137,2022-02-05,247.96,"Premier"
"491",7847,2022-05-27,NA,"Specialty Suite"
"492",3259,2022-07-17,426.92,"Premier"
"493",308,2024-06-10,398.87,"Specialty Suite"
"494",3881,2023-07-27,416.06,"Suite"
"495",666,2022-06-14,317.6,"Premier"
"496",1048,2023-10-14,281.49,"Standard"
"497",1328,2024-01-09,319.5,"Premier"
"498",727,2022-11-11,261.98,"Specialty Suite"
"499",6279,2022-06-22,340.67,"Premier"
"500",6764,2024-06-08,206.62,"Specialty Suite"
"501",5696,2023-07-25,362.09,"Specialty Suite"
"502",2397,2023-01-22,394.45,"Suite"
"503",3391,2023-06-09,445.86,"Suite"
"504",6184,2022-02-11,324.82,"Specialty Suite"
"505",4151,2023-09-04,398.91,"Standard"
"506",6656,2023-01-03,448.16,"Specialty Suite"
"507",5229,2023-04-24,443.69,"Specialty Suite"
"508",1739,2022-03-05,441.83,"Specialty Suite"
"509",6198,8-03-20,359.13,"Specialty Suite"
"510",4469,2022-06-13,271.57,"Specialty Suite"
"511",5917,2024-01-09,280.01,"Suite"
"512",2978,2024-06-15,381.05,"Standard"
"513",4456,2023-10-03,470.88,"Suite"
"514",5679,2022-06-01,437.9,"Specialty Suite"
"515",4274,2023-03-18,430.98,"Specialty Suite"
"516",7641,2024-05-09,521.29,"Premier"
"517",4477,20-01-20,320.61,"Premier"
"518",2434,2023-12-22,344.03,"Specialty Suite"
"519",7575,2022-09-02,376.27,"Specialty Suite"
"520",1372,17-08-20,393.89,NA
"521",4618,2023-09-03,177.53,"Standard"
"522",7924,2022-06-09,NA,"Suite"
"523",5508,2023-11-20,383.76,"Premier"
"524",1746,2022-12-17,301.61,"Premier"
"525",5019,2022-10-03,321.16,"Standard"
"526",2849,2022-04-01,403.87,"Specialty Suite"
"527",7922,2022-06-07,376.45,"Premier"
"528",731,2024-03-26,208.48,"Premier"
"529",7239,2022-03-10,NA,"Suite"
"530",6319,2024-05-23,398.22,"Premier"
"531",7033,2022-09-28,321.34,"Standard"
"532",4766,2024-05-29,297.11,"Premier"
"533",7002,2022-10-05,557.56,"Specialty Suite"
"534",4640,2024-01-10,NA,"Premier"
"535",7815,2022-07-08,NA,"Specialty Suite"
"536",7020,2023-07-18,330.28,"Premier"
"537",7482,2023-11-19,374.77,"Standard"
"538",4121,2022-04-08,427.05,"Suite"
"539",3342,2023-11-13,270.22,"Specialty Suite"
"540",6524,2022-01-17,415.22,NA
"541",894,2022-07-09,401.22,NA
"542",2419,2023-07-09,NA,"Specialty Suite"
"543",2676,2022-07-09,367.38,"Premier"
"544",828,2024-05-31,294.23,"Specialty Suite"
"545",5852,2024-07-27,380.29,"Premier"
"546",889,2022-06-13,251.4,NA
"547",2993,2022-11-26,416.2,"Premier"
"548",4546,2022-09-25,234.28,"Premier"
"549",7452,2022-05-16,344.93,"Standard"
"550",2388,2022-11-27,366.44,"Premier"
"551",3471,2024-01-11,415.48,"Suite"
"552",4016,2022-09-26,421.4,"Suite"
"553",2229,2024-03-12,418,"Specialty Suite"
"554",6612,2023-09-23,267.48,"Specialty Suite"
"555",3810,2023-07-20,194.83,"Specialty Suite"
"556",3583,2022-06-02,340.06,"Specialty Suite"
"557",6301,2022-08-08,332.62,"Premier"
"558",3256,2023-07-29,268.01,"Specialty Suite"
"559",7028,2023-09-21,311.02,"Standard"
"560",3962,2022-01-12,404.97,"Suite"
"561",5305,2022-01-07,NA,"Premier"
"562",532,2024-03-26,311.59,"Specialty Suite"
"563",3856,2023-09-27,298.51,"Premier"
"564",3596,2022-04-24,296.42,"Premier"
"565",6000,2022-12-20,360.18,"Specialty Suite"
"566",5446,2022-08-24,347.8,"Suite"
"567",4940,2024-06-12,318.44,"Suite"
"568",7060,2022-08-10,378.05,"Specialty Suite"
"569",6032,2022-07-29,334.12,"Standard"
"570",4141,2022-10-04,NA,"Specialty Suite"
"571",1063,2024-05-07,511.31,"Suite"
"572",1556,2022-09-14,405.13,"Suite"
"573",4840,2024-04-02,435.89,"Suite"
"574",5275,2024-06-14,501.3,"Suite"
"575",1248,2022-03-31,409.82,"Suite"
"576",2440,2023-01-24,NA,"Specialty Suite"
"577",3238,26-11-20,412.53,"Specialty Suite"
"578",157,2022-06-22,NA,"Standard"
"579",3050,2023-10-21,456.59,"Specialty Suite"
"580",1527,2022-08-19,409.63,"Suite"
"581",608,2022-12-13,257.77,"Specialty Suite"
"582",4097,2023-07-22,324.87,"Premier"
"583",5694,1-10-20,380.68,"Standard"
"584",1204,30-09-20,340.94,"Specialty Suite"
"585",4486,2022-05-23,NA,"Specialty Suite"
"586",4436,2024-07-14,434.69,"Specialty Suite"
"587",2269,2022-02-22,363.42,"Specialty Suite"
"588",1659,29-10-20,NA,"Suite"
