"","X","CustomerID","TransactionDate","Amount","ProductCategory","Month_Yr","Yr","Month","Day"
"33",33,7153,2022-10-17,337.52,"Standard","2022-10","2022","10","17"
"34",34,2812,2022-12-29,227.91,"Premier","2022-12","2022","12","29"
"35",35,1716,2022-01-27,381.45,"Standard","2022-01","2022","01","27"
"36",36,2931,2023-01-06,333.2,"Specialty Suite","2023-01","2023","01","06"
"37",37,7437,2022-06-16,338.77,"Specialty Suite","2022-06","2022","06","16"
"38",38,1530,2020-12-10,332.69,"Premier","2020-12","0010","12","20"
"39",39,1202,2023-11-24,274.38,"Suite","2023-11","2023","11","24"
"40",40,3672,2022-03-08,455.29,"Premier","2022-03","2022","03","08"
"41",41,4848,2023-03-04,438.37,"Standard","2023-03","2023","03","04"
"42",42,65,2024-03-25,325.89,"Specialty Suite","2024-03","2024","03","25"
"43",43,778,2022-01-11,321.35,"Standard","2022-01","2022","01","11"
"44",44,7287,2023-07-17,446.7,"Suite","2023-07","2023","07","17"
"45",45,5204,2023-12-29,270.72,"Premier","2023-12","2023","12","29"
"46",46,2746,2023-05-28,358.62,"Specialty Suite","2023-05","2023","05","28"
"47",47,1204,2023-05-01,512.13,"Specialty Suite","2023-05","2023","05","01"
"48",48,4043,2024-04-10,368.62,"Premier","2024-04","2024","04","10"
"49",49,5367,2023-05-19,380,"Premier","2023-05","2023","05","19"
"50",50,7149,2022-10-07,271.66,"Premier","2022-10","2022","10","07"
"51",51,1848,2022-01-09,311.93,"Premier","2022-01","2022","01","09"
"52",52,1609,2023-07-26,437.39,"Suite","2023-07","2023","07","26"
"53",53,1825,2023-11-21,383.06,"Premier","2023-11","2023","11","21"
"54",54,7369,2023-04-12,314.26,"Standard","2023-04","2023","04","12"
"55",55,4392,2023-09-22,235.96,"Suite","2023-09","2023","09","22"
"56",56,5590,2024-01-15,410.89,"Suite","2024-01","2024","01","15"
"57",57,7975,2023-03-12,327.18,"Premier","2023-03","2023","03","12"
"58",58,909,2024-05-10,266.31,"Specialty Suite","2024-05","2024","05","10"
"59",59,3546,2024-02-05,298.86,"Suite","2024-02","2024","02","05"
"60",60,7900,2022-12-23,359.37,"Suite","2022-12","2022","12","23"
"61",61,6449,2022-03-02,434.27,"Specialty Suite","2022-03","2022","03","02"
"62",62,5632,2022-02-20,255.24,"Standard","2022-02","2022","02","20"
"63",63,4687,2022-01-29,433.06,"Standard","2022-01","2022","01","29"
"64",64,5960,2022-10-11,296.94,"Standard","2022-10","2022","10","11"
"65",65,4356,2023-02-16,394.95,"Premier","2023-02","2023","02","16"
"66",66,3605,2024-04-22,414.59,"Suite","2024-04","2024","04","22"
"67",67,7035,2024-02-05,290.92,"Standard","2024-02","2024","02","05"
"68",68,2473,2020-05-14,459.59,"Standard","2020-05","0014","05","20"
"69",69,3820,2023-03-24,346,"Premier","2023-03","2023","03","24"
"70",70,3316,2023-09-06,338.95,"Specialty Suite","2023-09","2023","09","06"
"71",71,6390,2022-08-27,298.96,"Suite","2022-08","2022","08","27"
"72",72,4598,2023-12-16,360.5,"Specialty Suite","2023-12","2023","12","16"
"73",73,7341,2024-05-10,307.79,"Specialty Suite","2024-05","2024","05","10"
"74",74,6946,2024-06-27,361.97,"Standard","2024-06","2024","06","27"
"75",75,4748,2023-09-03,378.33,"Specialty Suite","2023-09","2023","09","03"
"76",76,5389,2023-01-10,360.96,"Premier","2023-01","2023","01","10"
"77",77,1188,2023-06-16,373.62,"Standard","2023-06","2023","06","16"
"78",78,7927,2020-06-20,275.46,"Premier","2020-06","0020","06","20"
"79",79,944,2022-02-14,287.28,"Suite","2022-02","2022","02","14"
"80",80,2895,2024-01-16,495.5,"Specialty Suite","2024-01","2024","01","16"
"81",81,5441,2023-09-19,302.32,"Premier","2023-09","2023","09","19"
"82",82,7618,2023-02-24,378.32,"Standard","2023-02","2023","02","24"
"83",83,6268,2024-05-09,457.91,"Suite","2024-05","2024","05","09"
"84",84,7345,2022-05-11,343.98,"Premier","2022-05","2022","05","11"
"85",85,5634,2024-02-03,440.78,"Suite","2024-02","2024","02","03"
"86",86,3962,2024-06-24,319.02,"Suite","2024-06","2024","06","24"
"87",87,5119,2020-10-03,249.29,"Specialty Suite","2020-10","0003","10","20"
"88",88,5409,2022-03-11,392.31,"Specialty Suite","2022-03","2022","03","11"
"89",89,192,2022-03-17,424.86,"Suite","2022-03","2022","03","17"
"90",90,1100,2024-02-05,251.14,"Premier","2024-02","2024","02","05"
"91",91,7536,2022-08-16,252.09,"Specialty Suite","2022-08","2022","08","16"
"92",92,6039,2022-09-22,355.4,"Specialty Suite","2022-09","2022","09","22"
"93",93,2606,2023-02-18,403.13,"Premier","2023-02","2023","02","18"
"94",94,4214,2023-08-14,265.73,"Specialty Suite","2023-08","2023","08","14"
"95",95,6426,2020-04-28,316.79,"Premier","2020-04","0028","04","20"
"96",96,3264,2023-07-06,286.9,"Premier","2023-07","2023","07","06"
"97",97,4143,2022-09-07,236.65,"Suite","2022-09","2022","09","07"
"98",98,990,2024-04-07,400.13,"Suite","2024-04","2024","04","07"
"99",99,7553,2024-07-18,260.24,"Premier","2024-07","2024","07","18"
"100",100,5852,2022-05-17,281.22,"Specialty Suite","2022-05","2022","05","17"
"101",101,1785,2022-01-17,346.55,"Suite","2022-01","2022","01","17"
"102",102,711,2022-01-10,309.88,"Premier","2022-01","2022","01","10"
"103",103,975,2022-09-15,488.56,"Specialty Suite","2022-09","2022","09","15"
"104",104,3967,2023-05-04,288.85,"Specialty Suite","2023-05","2023","05","04"
"105",105,6112,2024-01-04,384.38,"Standard","2024-01","2024","01","04"
"106",106,6276,2022-07-28,316.59,"Standard","2022-07","2022","07","28"
"107",107,3669,2023-08-30,320.86,"Standard","2023-08","2023","08","30"
"108",108,519,2023-09-11,411.67,"Specialty Suite","2023-09","2023","09","11"
"109",109,6321,2023-06-25,364.82,"Premier","2023-06","2023","06","25"
"110",110,2621,2022-04-21,366.16,"Specialty Suite","2022-04","2022","04","21"
"111",112,3624,2023-02-28,469.95,"Specialty Suite","2023-02","2023","02","28"
"112",113,5416,2022-08-08,337.35,"Suite","2022-08","2022","08","08"
"113",114,3280,2022-05-07,374.75,"Standard","2022-05","2022","05","07"
"114",115,1986,2023-04-18,406.34,"Premier","2023-04","2023","04","18"
"115",116,625,2024-04-20,317.18,"Premier","2024-04","2024","04","20"
"116",117,2261,2022-08-12,283.23,"Premier","2022-08","2022","08","12"
"117",118,5300,2024-02-29,328.18,"Standard","2024-02","2024","02","29"
"118",119,7186,2022-01-10,462.91,"Suite","2022-01","2022","01","10"
"119",120,7462,2020-01-07,283.1,"Standard","2020-01","0007","01","20"
"120",121,2243,2023-03-20,333.78,"Premier","2023-03","2023","03","20"
"121",122,390,2022-08-13,329.56,"Suite","2022-08","2022","08","13"
"122",123,3899,2022-11-19,349.19,"Specialty Suite","2022-11","2022","11","19"
"123",124,1699,2023-01-26,305.98,"Specialty Suite","2023-01","2023","01","26"
"124",125,7623,2023-11-23,364.63,"Specialty Suite","2023-11","2023","11","23"
"125",126,3723,2023-05-09,365.54,"Premier","2023-05","2023","05","09"
"126",127,6085,2022-07-14,378.49,"Specialty Suite","2022-07","2022","07","14"
"127",128,1931,2023-03-06,443.58,"Standard","2023-03","2023","03","06"
"128",129,2011,2024-06-06,356.69,"Premier","2024-06","2024","06","06"
"129",130,6924,2023-05-19,444.92,"Suite","2023-05","2023","05","19"
"130",131,5642,2023-06-13,439.72,"Standard","2023-06","2023","06","13"
"131",132,6740,2020-10-22,353.87,"Standard","2020-10","0022","10","20"
"132",133,2346,2020-01-07,285.94,"Standard","2020-01","0007","01","20"
"133",134,705,2022-12-10,378.51,"Specialty Suite","2022-12","2022","12","10"
"134",135,7536,2022-06-02,427.72,"Specialty Suite","2022-06","2022","06","02"
"135",136,4840,2022-12-07,395.46,"Standard","2022-12","2022","12","07"
"136",137,1970,2023-09-08,343.73,"Specialty Suite","2023-09","2023","09","08"
"137",138,7356,2023-09-04,287.78,"Suite","2023-09","2023","09","04"
"138",139,5783,2024-07-24,389.88,"Premier","2024-07","2024","07","24"
"139",140,2848,2022-03-12,297.38,"Premier","2022-03","2022","03","12"
"140",141,7243,2022-06-14,409.43,"Standard","2022-06","2022","06","14"
"141",142,1075,2024-06-23,387.64,"Specialty Suite","2024-06","2024","06","23"
"142",143,1581,2024-06-20,266.35,"Premier","2024-06","2024","06","20"
"143",144,2,2022-07-19,473.61,"Specialty Suite","2022-07","2022","07","19"
"144",145,6379,2024-02-01,171.69,"Specialty Suite","2024-02","2024","02","01"
"145",146,6836,2024-02-10,244.67,"Premier","2024-02","2024","02","10"
"146",147,4506,2023-02-15,263.81,"Specialty Suite","2023-02","2023","02","15"
"147",148,6925,2023-03-01,404.47,"Suite","2023-03","2023","03","01"
"148",149,1263,2022-03-22,385,"Standard","2022-03","2022","03","22"
"149",150,128,2023-05-02,321.5,"Specialty Suite","2023-05","2023","05","02"
"150",151,4086,2022-07-09,248.67,"Suite","2022-07","2022","07","09"
"151",152,6074,2024-06-23,367.68,"Specialty Suite","2024-06","2024","06","23"
"152",153,5209,2023-01-25,333.99,"Specialty Suite","2023-01","2023","01","25"
"153",154,5601,2024-02-18,417.16,"Suite","2024-02","2024","02","18"
"154",155,4160,2023-08-08,357.07,"Premier","2023-08","2023","08","08"
"155",156,6331,2022-01-22,298.93,"Premier","2022-01","2022","01","22"
"156",157,3456,2023-02-25,408.01,"Specialty Suite","2023-02","2023","02","25"
"157",158,2660,2024-07-16,260.14,"Standard","2024-07","2024","07","16"
"158",160,6158,2022-08-02,181.19,"Premier","2022-08","2022","08","02"
"159",161,2343,2023-12-04,461.41,"Presidential","2023-12","2023","12","04"
"160",162,5567,2022-02-15,388.51,"Specialty Suite","2022-02","2022","02","15"
"161",163,1915,2022-05-29,294.57,"Premier","2022-05","2022","05","29"
"162",164,3659,2023-03-15,336.18,"Specialty Suite","2023-03","2023","03","15"
"163",165,3582,2024-02-26,279.33,"Specialty Suite","2024-02","2024","02","26"
"164",166,3271,2022-05-27,398.62,"Premier","2022-05","2022","05","27"
"165",167,5938,2023-02-20,374.99,"Specialty Suite","2023-02","2023","02","20"
"166",168,2534,2022-10-07,324.02,"Premier","2022-10","2022","10","07"
"167",169,4236,2022-02-25,433.32,"Presidential","2022-02","2022","02","25"
"168",170,2420,2024-05-21,326.88,"Premier","2024-05","2024","05","21"
"169",171,7298,2023-06-15,409.42,"Suite","2023-06","2023","06","15"
"170",172,930,2022-10-14,250.45,"Premier","2022-10","2022","10","14"
"171",173,5565,2023-03-19,539.21,"Specialty Suite","2023-03","2023","03","19"
"172",174,1796,2020-04-28,452.05,"Specialty Suite","2020-04","0028","04","20"
"173",175,7976,2022-09-15,355.78,"Premier","2022-09","2022","09","15"
"174",176,629,2023-01-28,354.92,"Premier","2023-01","2023","01","28"
"175",177,2571,2022-03-23,460.62,"Standard","2022-03","2022","03","23"
"176",178,7280,2022-10-17,417.07,"Specialty Suite","2022-10","2022","10","17"
"177",179,6831,2024-05-03,377.82,"Premier","2024-05","2024","05","03"
"178",180,10,2024-03-08,232.25,"Specialty Suite","2024-03","2024","03","08"
"179",181,3059,2024-01-30,344.38,"Standard","2024-01","2024","01","30"
"180",182,7638,2022-05-26,243.6,"Standard","2022-05","2022","05","26"
"181",183,3939,2023-09-17,347.89,"Premier","2023-09","2023","09","17"
"182",184,4411,2024-07-15,370.47,"Standard","2024-07","2024","07","15"
"183",185,5353,2023-02-15,313.99,"Standard","2023-02","2023","02","15"
"184",186,891,2022-10-12,296.25,"Premier","2022-10","2022","10","12"
"185",187,5910,2024-06-22,226.47,"Standard","2024-06","2024","06","22"
"186",188,483,2023-11-19,294.33,"Specialty Suite","2023-11","2023","11","19"
"187",189,7789,2022-06-26,389.8,"Standard","2022-06","2022","06","26"
"188",190,2808,2023-04-16,285.78,"Suite","2023-04","2023","04","16"
"189",191,5612,2024-01-02,295.87,"Specialty Suite","2024-01","2024","01","02"
"190",192,1521,2020-08-21,268.44,"Specialty Suite","2020-08","0021","08","20"
"191",193,6496,2024-07-22,445.8,"Premier","2024-07","2024","07","22"
"192",194,3275,2022-06-04,310.26,"Standard","2022-06","2022","06","04"
"193",195,7112,2023-10-20,377.14,"Premier","2023-10","2023","10","20"
"194",196,56,2023-03-11,361.52,"Specialty Suite","2023-03","2023","03","11"
"195",197,589,2023-08-02,331.04,"Specialty Suite","2023-08","2023","08","02"
"196",198,5022,2023-02-26,280.16,"Specialty Suite","2023-02","2023","02","26"
"197",199,6547,2023-02-28,296.67,"Suite","2023-02","2023","02","28"
"198",200,6573,2024-06-06,408.85,"Suite","2024-06","2024","06","06"
"199",201,1108,2024-03-17,465.98,"Specialty Suite","2024-03","2024","03","17"
"200",202,733,2020-05-16,310.43,"Premier","2020-05","0016","05","20"
"201",203,5865,2022-07-16,548.74,"Specialty Suite","2022-07","2022","07","16"
"202",204,1663,2023-09-19,395.09,"Standard","2023-09","2023","09","19"
"203",205,1049,2023-12-31,460.58,"Premier","2023-12","2023","12","31"
"204",206,7465,2024-01-19,178.09,"Premier","2024-01","2024","01","19"
"205",207,3081,2023-12-11,216.75,"Premier","2023-12","2023","12","11"
"206",208,7792,2023-08-10,301.36,"Specialty Suite","2023-08","2023","08","10"
"207",209,4156,2023-05-23,392.52,"Standard","2023-05","2023","05","23"
"208",210,6965,2024-01-20,324.61,"Suite","2024-01","2024","01","20"
"209",211,5237,2023-09-26,280.79,"Standard","2023-09","2023","09","26"
"210",212,6587,2022-06-28,391.09,"Standard","2022-06","2022","06","28"
"211",213,6889,2023-10-03,355.07,"Suite","2023-10","2023","10","03"
"212",214,3656,2023-11-24,475.54,"Premier","2023-11","2023","11","24"
"213",215,527,2023-09-09,325.45,"Specialty Suite","2023-09","2023","09","09"
"214",216,1817,2022-07-31,356.42,"Standard","2022-07","2022","07","31"
"215",217,7720,2022-01-19,382.54,"Specialty Suite","2022-01","2022","01","19"
"216",218,4864,2023-01-30,474.56,"Suite","2023-01","2023","01","30"
"217",219,2320,2024-07-28,358.8,"Standard","2024-07","2024","07","28"
"218",220,7332,2023-06-03,283.03,"Premier","2023-06","2023","06","03"
"219",221,4064,2022-11-28,324.62,"Specialty Suite","2022-11","2022","11","28"
"220",222,5765,2022-08-05,462.15,"Suite","2022-08","2022","08","05"
"221",223,5663,2023-06-27,389.3,"Suite","2023-06","2023","06","27"
"222",224,3217,2024-07-02,455.02,"Standard","2024-07","2024","07","02"
"223",225,5167,2024-05-24,420.51,"Suite","2024-05","2024","05","24"
"224",226,5305,2024-03-13,386.46,"Specialty Suite","2024-03","2024","03","13"
"225",227,7596,2024-06-05,331.32,"Premier","2024-06","2024","06","05"
"226",228,6181,2023-08-01,239.16,"Standard","2023-08","2023","08","01"
"227",229,1875,2024-02-11,415.96,"Premier","2024-02","2024","02","11"
"228",230,3238,2022-09-05,460.14,"Presidential","2022-09","2022","09","05"
"229",231,5486,2022-01-12,447.54,"Presidential","2022-01","2022","01","12"
"230",232,2154,2023-11-30,374.88,"Specialty Suite","2023-11","2023","11","30"
"231",233,3026,2024-01-07,383.45,"Premier","2024-01","2024","01","07"
"232",234,978,2023-05-11,358.48,"Premier","2023-05","2023","05","11"
"233",235,3838,2024-05-31,350.35,"Specialty Suite","2024-05","2024","05","31"
"234",236,6238,2022-03-11,464.94,"Specialty Suite","2022-03","2022","03","11"
"235",237,5933,2023-01-15,447.13,"Suite","2023-01","2023","01","15"
"236",238,6747,2024-05-01,398.57,"Standard","2024-05","2024","05","01"
"237",239,6012,2023-12-29,319.87,"Specialty Suite","2023-12","2023","12","29"
"238",240,4012,2023-11-16,424.57,"Presidential","2023-11","2023","11","16"
"239",241,894,2022-11-27,315.74,"Specialty Suite","2022-11","2022","11","27"
"240",242,4532,2022-10-02,441.4,"Specialty Suite","2022-10","2022","10","02"
"241",243,4027,2023-09-07,395.07,"Specialty Suite","2023-09","2023","09","07"
"242",244,1352,2022-09-25,401.32,"Presidential","2022-09","2022","09","25"
"243",245,1375,2023-08-25,215.74,"Premier","2023-08","2023","08","25"
"244",246,7170,2020-01-03,322.57,"Suite","2020-01","0003","01","20"
"245",247,1536,2022-08-12,350.39,"Suite","2022-08","2022","08","12"
"246",248,7297,2023-04-28,541.85,"Specialty Suite","2023-04","2023","04","28"
"247",249,5642,2023-10-29,346.56,"Specialty Suite","2023-10","2023","10","29"
"248",250,344,2024-05-02,364.85,"Standard","2024-05","2024","05","02"
"249",251,1099,2023-06-03,435.8,"Suite","2023-06","2023","06","03"
"250",252,4016,2023-06-12,398.6,"Specialty Suite","2023-06","2023","06","12"
"251",253,7451,2022-03-01,474.26,"Premier","2022-03","2022","03","01"
"252",254,4868,2022-05-31,299.27,"Specialty Suite","2022-05","2022","05","31"
"253",255,7033,2023-11-21,476.47,"Standard","2023-11","2023","11","21"
"254",256,2834,2020-07-17,329.62,"Premier","2020-07","0017","07","20"
"255",257,477,2023-03-13,304.62,"Specialty Suite","2023-03","2023","03","13"
"256",258,1439,2020-02-10,347.33,"Standard","2020-02","0010","02","20"
"257",259,3415,2022-07-11,383.62,"Standard","2022-07","2022","07","11"
"258",260,6710,2024-06-20,417.29,"Suite","2024-06","2024","06","20"
"259",261,5439,2024-01-04,276.32,"Standard","2024-01","2024","01","04"
"260",262,2767,2022-02-26,331.45,"Suite","2022-02","2022","02","26"
"261",263,1906,2022-09-26,376.62,"Premier","2022-09","2022","09","26"
"262",264,7147,2023-11-30,339.45,"Premier","2023-11","2023","11","30"
"263",265,1940,2023-04-22,407.54,"Premier","2023-04","2023","04","22"
"264",266,6759,2022-01-09,408.19,"Specialty Suite","2022-01","2022","01","09"
"265",267,2832,2022-01-30,537.03,"Specialty Suite","2022-01","2022","01","30"
"266",268,2999,2022-07-07,296.63,"Standard","2022-07","2022","07","07"
"267",269,5958,2022-11-07,356.01,"Premier","2022-11","2022","11","07"
"268",270,7928,2022-04-18,454.2,"Premier","2022-04","2022","04","18"
"269",271,1234,2024-03-09,307.26,"Premier","2024-03","2024","03","09"
"270",272,6584,2022-11-08,402.78,"Suite","2022-11","2022","11","08"
"271",273,4439,2022-04-21,340.43,"Premier","2022-04","2022","04","21"
"272",274,77,2023-07-02,390.02,"Specialty Suite","2023-07","2023","07","02"
"273",275,408,2024-07-28,340.57,"Premier","2024-07","2024","07","28"
"274",276,6196,2023-01-22,259.27,"Premier","2023-01","2023","01","22"
"275",277,3979,2023-07-03,568.61,"Suite","2023-07","2023","07","03"
"276",278,2880,2022-01-31,356.92,"Premier","2022-01","2022","01","31"
"277",279,7083,2024-04-26,359.95,"Specialty Suite","2024-04","2024","04","26"
"278",280,4138,2022-09-08,466.66,"Specialty Suite","2022-09","2022","09","08"
"279",281,6717,2023-11-30,409.91,"Suite","2023-11","2023","11","30"
"280",282,6565,2023-10-17,450.53,"Specialty Suite","2023-10","2023","10","17"
"281",283,1316,2022-12-05,372.72,"Standard","2022-12","2022","12","05"
"282",284,5645,2022-03-04,377.84,"Premier","2022-03","2022","03","04"
"283",285,2154,2024-03-20,426.11,"Suite","2024-03","2024","03","20"
"284",286,2303,2023-01-18,297.48,"Specialty Suite","2023-01","2023","01","18"
"285",287,4264,2024-02-19,397.89,"Specialty Suite","2024-02","2024","02","19"
"286",288,2132,2023-09-23,330.96,"Standard","2023-09","2023","09","23"
"287",289,6841,2022-07-21,339.68,"Premier","2022-07","2022","07","21"
"288",290,4997,2022-01-08,480.47,"Suite","2022-01","2022","01","08"
"289",291,7841,2023-01-20,429.46,"Specialty Suite","2023-01","2023","01","20"
"290",292,3618,2023-02-20,329.44,"Premier","2023-02","2023","02","20"
"291",293,3334,2024-03-08,378.67,"Standard","2024-03","2024","03","08"
"292",295,7878,2022-07-15,445.34,"Suite","2022-07","2022","07","15"
"293",296,7172,2024-01-12,304.29,"Premier","2024-01","2024","01","12"
"294",297,1291,2023-10-26,358.42,"Premier","2023-10","2023","10","26"
"295",298,3327,2022-10-13,416.16,"Premier","2022-10","2022","10","13"
"296",299,7878,2022-09-07,401.64,"Suite","2022-09","2022","09","07"
"297",300,6209,2022-02-10,510.11,"Suite","2022-02","2022","02","10"
"298",301,4797,2022-01-31,221.63,"Standard","2022-01","2022","01","31"
"299",302,3250,2023-05-23,446.85,"Suite","2023-05","2023","05","23"
"300",303,7882,2023-02-03,412.53,"Specialty Suite","2023-02","2023","02","03"
"301",304,7921,2020-01-08,208.95,"Specialty Suite","2020-01","0008","01","20"
"302",305,5698,2023-05-18,331.93,"Specialty Suite","2023-05","2023","05","18"
"303",306,2936,2023-02-13,251.76,"Specialty Suite","2023-02","2023","02","13"
"304",307,4628,2022-11-19,393.87,"Specialty Suite","2022-11","2022","11","19"
"305",308,7703,2023-02-25,366.65,"Standard","2023-02","2023","02","25"
"306",309,35,2022-08-09,339.38,"Standard","2022-08","2022","08","09"
"307",310,5696,2022-01-21,363.09,"Standard","2022-01","2022","01","21"
"308",311,5573,2023-10-23,387.85,"Specialty Suite","2023-10","2023","10","23"
"309",312,1059,2022-04-25,565.59,"Presidential","2022-04","2022","04","25"
"310",313,1277,2023-10-13,444.39,"Suite","2023-10","2023","10","13"
"311",314,3725,2022-10-29,363.52,"Standard","2022-10","2022","10","29"
"312",315,6930,2023-02-04,329.78,"Specialty Suite","2023-02","2023","02","04"
"313",316,2181,2023-05-30,315.72,"Standard","2023-05","2023","05","30"
"314",317,5714,2023-07-14,288.49,"Suite","2023-07","2023","07","14"
"315",318,924,2024-03-15,215.9,"Standard","2024-03","2024","03","15"
"316",319,7393,2024-02-21,406.52,"Suite","2024-02","2024","02","21"
"317",320,3536,2023-08-13,343.35,"Premier","2023-08","2023","08","13"
"318",321,4588,2022-03-05,226.51,"Premier","2022-03","2022","03","05"
"319",322,6466,2024-04-27,349.85,"Standard","2024-04","2024","04","27"
"320",323,3200,2022-03-30,400.41,"Specialty Suite","2022-03","2022","03","30"
"321",324,4802,2022-03-28,381.48,"Premier","2022-03","2022","03","28"
"322",325,743,2022-11-28,459.47,"Suite","2022-11","2022","11","28"
"323",326,1398,2023-03-10,508.85,"Suite","2023-03","2023","03","10"
"324",327,2957,2022-09-21,363.22,"Specialty Suite","2022-09","2022","09","21"
"325",328,4263,2023-09-11,254.28,"Specialty Suite","2023-09","2023","09","11"
"326",329,6502,2024-01-22,323.9,"Suite","2024-01","2024","01","22"
"327",330,5660,2022-06-29,379.62,"Suite","2022-06","2022","06","29"
"328",331,451,2022-03-17,365.3,"Standard","2022-03","2022","03","17"
"329",332,4136,2023-12-22,427.26,"Suite","2023-12","2023","12","22"
"330",333,127,2023-10-04,366.47,"Premier","2023-10","2023","10","04"
"331",334,1148,2024-04-04,348.59,"Premier","2024-04","2024","04","04"
"332",335,3031,2023-06-06,446.27,"Specialty Suite","2023-06","2023","06","06"
"333",336,726,2024-01-01,351.81,"Premier","2024-01","2024","01","01"
"334",337,4588,2022-03-08,530.63,"Specialty Suite","2022-03","2022","03","08"
"335",338,1090,2024-03-02,360.98,"Standard","2024-03","2024","03","02"
"336",339,2542,2024-02-06,402.31,"Suite","2024-02","2024","02","06"
"337",340,5875,2024-03-09,326.87,"Standard","2024-03","2024","03","09"
"338",341,6896,2023-02-28,343.56,"Premier","2023-02","2023","02","28"
"339",342,6440,2022-10-28,262.9,"Premier","2022-10","2022","10","28"
"340",343,1909,2022-06-28,406.07,"Specialty Suite","2022-06","2022","06","28"
"341",344,2417,2022-03-27,387.25,"Standard","2022-03","2022","03","27"
"342",345,3548,2022-10-25,306.56,"Standard","2022-10","2022","10","25"
"343",346,3570,2023-11-26,294.84,"Specialty Suite","2023-11","2023","11","26"
"344",347,2772,2020-01-30,359.51,"Premier","2020-01","0030","01","20"
"345",348,3911,2022-05-18,221.01,"Standard","2022-05","2022","05","18"
"346",349,2491,2022-09-15,491.22,"Specialty Suite","2022-09","2022","09","15"
"347",350,6378,2020-05-05,403.87,"Specialty Suite","2020-05","0005","05","20"
"348",351,5028,2023-05-31,239.5,"Premier","2023-05","2023","05","31"
"349",352,1361,2022-03-23,408.94,"Presidential","2022-03","2022","03","23"
"350",353,2053,2023-07-05,418.06,"Specialty Suite","2023-07","2023","07","05"
"351",354,2106,2022-09-04,295.81,"Standard","2022-09","2022","09","04"
"352",355,4412,2022-10-16,416.82,"Suite","2022-10","2022","10","16"
"353",356,226,2022-03-04,347.64,"Premier","2022-03","2022","03","04"
"354",357,683,2022-08-12,312.63,"Standard","2022-08","2022","08","12"
"355",358,3279,2024-02-17,515.8,"Specialty Suite","2024-02","2024","02","17"
"356",359,674,2023-07-08,420.94,"Premier","2023-07","2023","07","08"
"357",360,2298,2024-06-20,380.45,"Premier","2024-06","2024","06","20"
"358",361,6124,2022-06-01,442.85,"Standard","2022-06","2022","06","01"
"359",362,1030,2024-05-14,452.66,"Suite","2024-05","2024","05","14"
"360",363,1829,2023-01-03,415.55,"Specialty Suite","2023-01","2023","01","03"
"361",364,6901,2022-06-06,270.62,"Premier","2022-06","2022","06","06"
"362",365,3833,2023-06-17,423.79,"Suite","2023-06","2023","06","17"
"363",366,6850,2024-02-16,381.67,"Specialty Suite","2024-02","2024","02","16"
"364",367,4552,2023-05-23,400.58,"Suite","2023-05","2023","05","23"
"365",368,3153,2022-07-15,232.47,"Premier","2022-07","2022","07","15"
