"","CustomerID","X.1","X","TransactionDate","Amount","ProductCategory","Month_Yr","Yr","Month","Day","Month_Yr_graph","final_category","HighValue"
"42",23,13015,13146,2023-02-16,495.64,"Specialty Suite","2023-02","2023","02",16,2023-02-01,"Silver","0"
"43",23,1320,1330,2022-12-23,179.99,"Specialty Suite","2022-12","2022","12",23,2022-12-01,"Silver","0"
"44",24,9473,9561,2023-06-25,338.28,"Suite","2023-06","2023","06",25,2023-06-01,"Bronze","0"
"45",25,14595,14742,2022-05-24,253.33,"Specialty Suite","2022-05","2022","05",24,2022-05-01,"Silver","0"
"46",25,1935,1948,2022-04-02,255.44,"Premier","2022-04","2022","04",2,2022-04-01,"Silver","0"
"47",26,12751,12879,2023-06-25,390.41,"Standard","2023-06","2023","06",25,2023-06-01,"Silver","0"
"48",26,7189,7257,2023-08-13,525.14,"Specialty Suite","2023-08","2023","08",13,2023-08-01,"Silver","0"
"49",26,2518,2541,2023-05-24,274.1,"Premier","2023-05","2023","05",24,2023-05-01,"Silver","0"
"50",29,7264,7332,2023-05-04,360.95,"Specialty Suite","2023-05","2023","05",4,2023-05-01,"Bronze","0"
"51",30,1497,1507,2022-05-08,461.5,"Specialty Suite","2022-05","2022","05",8,2022-05-01,"Silver","0"
"52",30,873,880,2022-12-08,405.01,"Specialty Suite","2022-12","2022","12",8,2022-12-01,"Silver","0"
"53",31,7712,7783,2022-05-10,296.03,"Specialty Suite","2022-05","2022","05",10,2022-05-01,"Bronze","0"
"54",33,12442,12566,2022-09-11,514.04,"Specialty Suite","2022-09","2022","09",11,2022-09-01,"Silver","1"
"55",33,12895,13024,2022-01-22,493.77,"Specialty Suite","2022-01","2022","01",22,2022-01-01,"Silver","1"
"56",33,2986,3015,2024-01-07,480.31,"Suite","2024-01","2024","01",7,2024-01-01,"Silver","1"
"57",33,2270,2288,2022-03-16,273.2,"Standard","2022-03","2022","03",16,2022-03-01,"Silver","1"
"58",33,12662,12789,2022-02-08,401.33,"Specialty Suite","2022-02","2022","02",8,2022-02-01,"Silver","1"
"59",34,13325,13459,2023-03-16,370.35,"Specialty Suite","2023-03","2023","03",16,2023-03-01,"Gold","1"
"60",34,13235,13367,2022-02-17,251.43,"Suite","2022-02","2022","02",17,2022-02-01,"Gold","1"
"61",34,14160,14303,2022-02-18,412.42,"Specialty Suite","2022-02","2022","02",18,2022-02-01,"Gold","1"
"62",34,6742,6805,2024-06-11,297.07,"Premier","2024-06","2024","06",11,2024-06-01,"Gold","1"
"63",34,409,412,2022-06-14,274.68,"Premier","2022-06","2022","06",14,2022-06-01,"Gold","1"
"64",34,10252,10349,2023-06-20,416.35,"Premier","2023-06","2023","06",20,2023-06-01,"Gold","1"
"65",34,11959,12076,2023-10-15,451.01,"Specialty Suite","2023-10","2023","10",15,2023-10-01,"Gold","1"
"66",34,11678,11794,2023-04-06,493.43,"Suite","2023-04","2023","04",6,2023-04-01,"Gold","1"
"67",35,9141,9229,2022-04-19,412.64,"Specialty Suite","2022-04","2022","04",19,2022-04-01,"Silver","0"
"68",35,306,309,2022-08-09,339.38,"Standard","2022-08","2022","08",9,2022-08-01,"Silver","0"
"69",37,13760,13896,2022-03-14,393.13,"Premier","2022-03","2022","03",14,2022-03-01,"Silver","0"
"70",37,3777,3811,2022-06-09,288.1,"Specialty Suite","2022-06","2022","06",9,2022-06-01,"Silver","0"
"71",38,6739,6802,2023-11-19,368.11,"Standard","2023-11","2023","11",19,2023-11-01,"Silver","1"
"72",38,437,440,2023-01-23,343.47,"Specialty Suite","2023-01","2023","01",23,2023-01-01,"Silver","1"
"73",38,7095,7162,2024-07-16,307.78,"Specialty Suite","2024-07","2024","07",16,2024-07-01,"Silver","1"
"74",38,12276,12397,2022-10-08,498.81,"Suite","2022-10","2022","10",8,2022-10-01,"Silver","1"
"75",39,8719,8802,2024-06-03,336.83,"Specialty Suite","2024-06","2024","06",3,2024-06-01,"Silver","0"
"76",39,7454,7523,2024-04-18,468.89,"Suite","2024-04","2024","04",18,2024-04-01,"Silver","0"
"77",40,624,629,2022-06-09,271.7,"Premier","2022-06","2022","06",9,2022-06-01,"Bronze","0"
"78",41,6394,6452,2022-06-25,456.56,"Suite","2022-06","2022","06",25,2022-06-01,"Silver","0"
"79",41,14135,14278,2023-11-17,393.7,"Suite","2023-11","2023","11",17,2023-11-01,"Silver","0"
"80",43,10599,10701,2022-02-20,436.21,"Presidential","2022-02","2022","02",20,2022-02-01,"Bronze","0"
"81",44,942,949,2023-08-07,441.06,"Specialty Suite","2023-08","2023","08",7,2023-08-01,"Silver","0"
"82",44,5977,6030,2022-11-26,352.47,"Premier","2022-11","2022","11",26,2022-11-01,"Silver","0"
"83",45,9647,9737,2023-02-19,399.8,"Specialty Suite","2023-02","2023","02",19,2023-02-01,"Silver","0"
"84",45,9585,9674,2020-06-14,293.35,"Specialty Suite","2020-06","2020","06",20,2020-06-01,"Silver","0"
"85",45,2831,2858,2024-02-01,459.1,"Suite","2024-02","2024","02",1,2024-02-01,"Silver","0"
"86",46,1980,1993,2024-04-22,471.78,"Specialty Suite","2024-04","2024","04",22,2024-04-01,"Silver","1"
"87",46,1991,2005,2022-02-19,283.91,"Specialty Suite","2022-02","2022","02",19,2022-02-01,"Silver","1"
"88",46,11399,11515,2020-12-17,366.73,"Suite","2020-12","2020","12",20,2020-12-01,"Silver","1"
"89",46,5499,5549,2023-01-30,279.93,"Standard","2023-01","2023","01",30,2023-01-01,"Silver","1"
"90",46,9142,9230,2022-09-05,398.99,"Specialty Suite","2022-09","2022","09",5,2022-09-01,"Silver","1"
"91",47,3355,3385,2024-07-02,372.94,"Premier","2024-07","2024","07",2,2024-07-01,"Silver","0"
"92",47,10282,10381,2022-09-02,236.59,"Standard","2022-09","2022","09",2,2022-09-01,"Silver","0"
"93",48,4087,4123,2023-05-03,370.9,"Premier","2023-05","2023","05",3,2023-05-01,"Silver","0"
"94",48,7453,7522,2022-04-09,246.52,"Premier","2022-04","2022","04",9,2022-04-01,"Silver","0"
"95",48,8770,8853,2023-05-06,346.99,"Premier","2023-05","2023","05",6,2023-05-01,"Silver","0"
"96",50,8845,8930,2022-04-11,462.52,"Premier","2022-04","2022","04",11,2022-04-01,"Bronze","0"
"97",51,10960,11067,2022-07-28,330.89,"Premier","2022-07","2022","07",28,2022-07-01,"Bronze","0"
"98",52,11357,11473,2022-04-18,424.62,"Specialty Suite","2022-04","2022","04",18,2022-04-01,"Silver","1"
"99",52,2496,2519,2023-09-27,412.34,"Specialty Suite","2023-09","2023","09",27,2023-09-01,"Silver","1"
"100",52,8684,8766,2022-07-24,509.6,"Suite","2022-07","2022","07",24,2022-07-01,"Silver","1"
"101",52,7591,7661,2022-05-06,277.23,"Suite","2022-05","2022","05",6,2022-05-01,"Silver","1"
"102",53,10788,10892,2022-11-02,460.6,"Suite","2022-11","2022","11",2,2022-11-01,"Silver","0"
"103",53,9606,9695,2024-02-12,378.11,"Premier","2024-02","2024","02",12,2024-02-01,"Silver","0"
"104",54,13406,13540,2023-03-13,339.74,"Standard","2023-03","2023","03",13,2023-03-01,"Silver","1"
"105",54,5873,5925,2022-12-08,364.85,"Standard","2022-12","2022","12",8,2022-12-01,"Silver","1"
"106",54,12843,12972,2023-11-28,523.94,"Suite","2023-11","2023","11",28,2023-11-01,"Silver","1"
"107",54,8102,8178,2023-09-06,457.26,"Premier","2023-09","2023","09",6,2023-09-01,"Silver","1"
"108",55,8163,8239,2024-03-01,460.81,"Premier","2024-03","2024","03",1,2024-03-01,"Silver","0"
"109",55,11544,11660,2023-06-17,330.84,"Premier","2023-06","2023","06",17,2023-06-01,"Silver","0"
"110",56,1201,1211,2023-09-05,492.67,"Suite","2023-09","2023","09",5,2023-09-01,"Silver","1"
"111",56,194,196,2023-03-11,361.52,"Specialty Suite","2023-03","2023","03",11,2023-03-01,"Silver","1"
"112",56,4648,4689,2022-12-02,323.56,"Standard","2022-12","2022","12",2,2022-12-01,"Silver","1"
"113",56,2813,2840,2024-06-15,327.28,"Suite","2024-06","2024","06",15,2024-06-01,"Silver","1"
"114",57,389,392,2023-03-01,427.29,"Specialty Suite","2023-03","2023","03",1,2023-03-01,"Bronze","0"
"115",58,13232,13364,2022-04-07,216.58,"Specialty Suite","2022-04","2022","04",7,2022-04-01,"Bronze","0"
"116",61,2341,2363,2023-07-24,407.28,"Presidential","2023-07","2023","07",24,2023-07-01,"Silver","0"
"117",61,723,729,2022-07-24,407.2,"Standard","2022-07","2022","07",24,2022-07-01,"Silver","0"
"118",63,13152,13284,2023-08-16,476.41,"Specialty Suite","2023-08","2023","08",16,2023-08-01,"Silver","1"
"119",63,11640,11756,2023-12-09,417.05,"Standard","2023-12","2023","12",9,2023-12-01,"Silver","1"
"120",63,12742,12870,2023-10-25,345.82,"Standard","2023-10","2023","10",25,2023-10-01,"Silver","1"
"121",63,12,12,2022-11-17,390.49,"Specialty Suite","2022-11","2022","11",17,2022-11-01,"Silver","1"
"122",64,8607,8689,2022-08-02,442.09,"Suite","2022-08","2022","08",2,2022-08-01,"Silver","0"
"123",64,2840,2867,2023-07-20,345.07,"Premier","2023-07","2023","07",20,2023-07-01,"Silver","0"
"124",64,8627,8709,2023-11-24,314.52,"Standard","2023-11","2023","11",24,2023-11-01,"Silver","0"
"125",65,4750,4791,2023-02-01,398.13,"Premier","2023-02","2023","02",1,2023-02-01,"Silver","0"
"126",65,42,42,2024-03-25,325.89,"Specialty Suite","2024-03","2024","03",25,2024-03-01,"Silver","0"
"127",66,1548,1558,2023-10-03,322.83,"Standard","2023-10","2023","10",3,2023-10-01,"Silver","0"
"128",66,7259,7327,2023-10-23,175.52,"Specialty Suite","2023-10","2023","10",23,2023-10-01,"Silver","0"
"129",67,7909,7984,2023-09-07,330.2,"Suite","2023-09","2023","09",7,2023-09-01,"Silver","0"
"130",67,11704,11820,2023-05-20,392.23,"Specialty Suite","2023-05","2023","05",20,2023-05-01,"Silver","0"
"131",68,11837,11954,2023-11-09,248.48,"Specialty Suite","2023-11","2023","11",9,2023-11-01,"Bronze","0"
"132",69,12703,12831,2023-07-20,344.55,"Premier","2023-07","2023","07",20,2023-07-01,"Bronze","0"
"133",70,5398,5446,2022-12-20,484.98,"Suite","2022-12","2022","12",20,2022-12-01,"Bronze","0"
"134",71,7604,7674,2022-01-10,288.72,"Standard","2022-01","2022","01",10,2022-01-01,"Bronze","0"
"135",72,1259,1269,2022-10-06,394.66,"Standard","2022-10","2022","10",6,2022-10-01,"Bronze","0"
"136",73,10806,10910,2023-05-31,314.79,"Standard","2023-05","2023","05",31,2023-05-01,"Silver","0"
"137",73,1745,1757,2024-01-22,379.06,"Suite","2024-01","2024","01",22,2024-01-01,"Silver","0"
"138",73,8278,8354,2022-11-19,357.97,"Premier","2022-11","2022","11",19,2022-11-01,"Silver","0"
"139",73,10601,10703,2022-03-13,195.74,"Premier","2022-03","2022","03",13,2022-03-01,"Silver","0"
"140",73,11424,11540,2023-09-07,245.11,"Premier","2023-09","2023","09",7,2023-09-01,"Silver","0"
"141",74,9523,9611,2023-03-24,404.74,"Specialty Suite","2023-03","2023","03",24,2023-03-01,"Bronze","0"
"142",75,13140,13271,2023-12-25,359.78,"Specialty Suite","2023-12","2023","12",25,2023-12-01,"Bronze","0"
"143",76,13524,13658,2023-03-11,335.61,"Specialty Suite","2023-03","2023","03",11,2023-03-01,"Silver","0"
"144",76,7452,7521,2022-05-15,307.78,"Standard","2022-05","2022","05",15,2022-05-01,"Silver","0"
"145",76,7821,7896,2023-02-21,437.22,"Suite","2023-02","2023","02",21,2023-02-01,"Silver","0"
"146",76,4224,4261,2023-09-19,376.03,"Premier","2023-09","2023","09",19,2023-09-01,"Silver","0"
"147",77,272,274,2023-07-02,390.02,"Specialty Suite","2023-07","2023","07",2,2023-07-01,"Silver","0"
"148",77,5266,5313,2022-04-20,329.18,"Premier","2022-04","2022","04",20,2022-04-01,"Silver","0"
"149",78,7596,7666,2024-04-07,384.07,"Specialty Suite","2024-04","2024","04",7,2024-04-01,"Silver","1"
"150",78,1062,1071,2022-10-30,376.33,"Premier","2022-10","2022","10",30,2022-10-01,"Silver","1"
"151",78,5884,5936,2023-07-21,539.61,"Suite","2023-07","2023","07",21,2023-07-01,"Silver","1"
"152",78,5018,5059,2024-04-10,279.83,"Specialty Suite","2024-04","2024","04",10,2024-04-01,"Silver","1"
"153",78,5163,5206,2022-11-26,291.47,"Premier","2022-11","2022","11",26,2022-11-01,"Silver","1"
"154",79,13459,13593,2024-06-24,369.07,"Specialty Suite","2024-06","2024","06",24,2024-06-01,"Silver","0"
"155",79,13583,13718,2022-11-23,439.94,"Suite","2022-11","2022","11",23,2022-11-01,"Silver","0"
"156",80,2123,2141,2022-05-09,376.01,"Suite","2022-05","2022","05",9,2022-05-01,"Silver","1"
"157",80,5462,5511,2023-01-24,469.28,"Suite","2023-01","2023","01",24,2023-01-01,"Silver","1"
"158",80,6553,6614,2024-04-05,379.97,"Standard","2024-04","2024","04",5,2024-04-01,"Silver","1"
"159",80,7238,7306,2022-02-27,287.55,"Specialty Suite","2022-02","2022","02",27,2022-02-01,"Silver","1"
"160",81,7564,7633,2022-03-23,408.85,"Specialty Suite","2022-03","2022","03",23,2022-03-01,"Silver","0"
"161",81,1212,1222,2022-08-10,234.37,"Premier","2022-08","2022","08",10,2022-08-01,"Silver","0"
"162",81,13155,13287,2022-12-28,372.63,"Suite","2022-12","2022","12",28,2022-12-01,"Silver","0"
"163",82,14776,14925,2023-08-03,275.54,"Premier","2023-08","2023","08",3,2023-08-01,"Silver","0"
"164",82,13433,13567,2023-10-18,302.99,"Specialty Suite","2023-10","2023","10",18,2023-10-01,"Silver","0"
"165",84,7417,7486,2022-07-20,411.39,"Suite","2022-07","2022","07",20,2022-07-01,"Silver","0"
"166",84,14158,14301,2022-04-10,412.68,"Standard","2022-04","2022","04",10,2022-04-01,"Silver","0"
"167",84,1019,1027,2022-01-27,263.66,"Standard","2022-01","2022","01",27,2022-01-01,"Silver","0"
"168",85,2931,2959,2023-07-29,320.33,"Premier","2023-07","2023","07",29,2023-07-01,"Silver","1"
"169",85,3961,3996,2022-09-16,305.37,"Specialty Suite","2022-09","2022","09",16,2022-09-01,"Silver","1"
"170",85,14773,14922,2022-04-10,369.94,"Suite","2022-04","2022","04",10,2022-04-01,"Silver","1"
"171",85,9923,10017,2024-06-13,360.52,"Premier","2024-06","2024","06",13,2024-06-01,"Silver","1"
"172",85,10748,10852,2023-10-18,318.81,"Premier","2023-10","2023","10",18,2023-10-01,"Silver","1"
"173",86,1905,1918,2022-08-26,418.01,"Suite","2022-08","2022","08",26,2022-08-01,"Bronze","0"
"174",87,14023,14164,2022-03-30,431.71,"Suite","2022-03","2022","03",30,2022-03-01,"Silver","0"
"175",87,594,598,2020-05-02,437.98,"Specialty Suite","2020-05","2020","05",20,2020-05-01,"Silver","0"
"176",88,7983,8058,2023-06-09,352.58,"Suite","2023-06","2023","06",9,2023-06-01,"Silver","0"
"177",88,14176,14319,2022-07-26,324.73,"Premier","2022-07","2022","07",26,2022-07-01,"Silver","0"
"178",89,12950,13080,2022-06-13,378.38,"Premier","2022-06","2022","06",13,2022-06-01,"Silver","0"
"179",89,1030,1038,2024-04-21,423.97,"Specialty Suite","2024-04","2024","04",21,2024-04-01,"Silver","0"
"180",90,7159,7227,2022-09-24,432.06,"Suite","2022-09","2022","09",24,2022-09-01,"Bronze","0"
"181",91,12439,12563,2022-12-24,439,"Specialty Suite","2022-12","2022","12",24,2022-12-01,"Silver","0"
"182",91,10546,10647,2023-03-26,285.09,"Suite","2023-03","2023","03",26,2023-03-01,"Silver","0"
"183",94,8549,8631,2023-01-23,292.59,"Specialty Suite","2023-01","2023","01",23,2023-01-01,"Silver","0"
"184",94,8213,8289,2024-06-08,428.63,"Premier","2024-06","2024","06",8,2024-06-01,"Silver","0"
"185",94,778,784,2023-04-13,357.97,"Premier","2023-04","2023","04",13,2023-04-01,"Silver","0"
"186",95,11628,11744,2022-02-26,345.48,"Specialty Suite","2022-02","2022","02",26,2022-02-01,"Bronze","0"
"187",96,5457,5506,2024-02-04,340.03,"Standard","2024-02","2024","02",4,2024-02-01,"Bronze","0"
"188",98,5097,5140,2022-12-06,191.29,"Standard","2022-12","2022","12",6,2022-12-01,"Silver","0"
"189",98,2514,2537,2022-07-23,351.54,"Premier","2022-07","2022","07",23,2022-07-01,"Silver","0"
"190",98,8711,8794,2022-11-10,252.16,"Premier","2022-11","2022","11",10,2022-11-01,"Silver","0"
"191",99,13409,13543,2023-07-31,424,"Suite","2023-07","2023","07",31,2023-07-01,"Silver","1"
"192",99,6592,6653,2022-10-27,437.31,"Premier","2022-10","2022","10",27,2022-10-01,"Silver","1"
"193",99,5001,5042,2022-12-12,282.49,"Premier","2022-12","2022","12",12,2022-12-01,"Silver","1"
"194",99,3693,3727,2022-03-06,388.82,"Suite","2022-03","2022","03",6,2022-03-01,"Silver","1"
"195",100,9680,9770,2022-10-03,314.3,"Specialty Suite","2022-10","2022","10",3,2022-10-01,"Silver","0"
"196",100,9449,9537,2024-03-13,334.45,"Premier","2024-03","2024","03",13,2024-03-01,"Silver","0"
"197",100,11682,11798,2022-12-26,318.48,"Specialty Suite","2022-12","2022","12",26,2022-12-01,"Silver","0"
"198",100,12321,12442,2023-03-27,322.9,"Specialty Suite","2023-03","2023","03",27,2023-03-01,"Silver","0"
"199",102,7182,7250,2023-03-07,396.13,"Standard","2023-03","2023","03",7,2023-03-01,"Silver","0"
"200",102,10198,10292,2024-01-13,403.97,"Premier","2024-01","2024","01",13,2024-01-01,"Silver","0"
"201",102,9158,9246,2022-11-21,414.26,"Suite","2022-11","2022","11",21,2022-11-01,"Silver","0"
"202",103,6653,6714,2023-10-08,348.79,"Premier","2023-10","2023","10",8,2023-10-01,"Silver","0"
"203",103,6684,6745,2023-07-16,278.25,"Standard","2023-07","2023","07",16,2023-07-01,"Silver","0"
"204",104,10814,10918,2023-11-06,378.61,"Premier","2023-11","2023","11",6,2023-11-01,"Silver","0"
"205",104,7953,8028,2022-07-29,397.11,"Standard","2022-07","2022","07",29,2022-07-01,"Silver","0"
"206",105,3098,3127,2023-07-21,405.74,"Specialty Suite","2023-07","2023","07",21,2023-07-01,"Silver","0"
"207",105,4205,4242,2024-07-04,173.33,"Premier","2024-07","2024","07",4,2024-07-01,"Silver","0"
"208",106,6991,7056,2024-04-04,371.88,"Standard","2024-04","2024","04",4,2024-04-01,"Silver","0"
"209",106,1547,1557,2024-01-15,406.1,"Suite","2024-01","2024","01",15,2024-01-01,"Silver","0"
"210",107,12034,12151,2024-01-16,386.05,"Standard","2024-01","2024","01",16,2024-01-01,"Silver","0"
"211",107,6480,6539,2022-01-02,339.38,"Standard","2022-01","2022","01",2,2022-01-01,"Silver","0"
"212",108,12249,12370,2023-07-04,264.59,"Premier","2023-07","2023","07",4,2023-07-01,"Bronze","0"
"213",109,2344,2366,2024-02-04,387.64,"Specialty Suite","2024-02","2024","02",4,2024-02-01,"Bronze","0"
"214",110,12035,12152,2024-01-30,360.28,"Suite","2024-01","2024","01",30,2024-01-01,"Silver","0"
"215",110,3182,3212,2023-08-26,412.1,"Suite","2023-08","2023","08",26,2023-08-01,"Silver","0"
"216",111,10162,10256,2024-04-22,444.58,"Suite","2024-04","2024","04",22,2024-04-01,"Silver","1"
"217",111,10390,10491,2022-12-24,312.06,"Standard","2022-12","2022","12",24,2022-12-01,"Silver","1"
"218",111,2389,2412,2023-09-14,424.03,"Specialty Suite","2023-09","2023","09",14,2023-09-01,"Silver","1"
"219",111,11,11,2024-06-07,296.31,"Specialty Suite","2024-06","2024","06",7,2024-06-01,"Silver","1"
"220",111,11469,11585,2023-04-13,333.09,"Premier","2023-04","2023","04",13,2023-04-01,"Silver","1"
"221",112,14790,14939,2023-05-07,341.73,"Premier","2023-05","2023","05",7,2023-05-01,"Bronze","0"
"222",113,7145,7212,2024-07-14,345.62,"Premier","2024-07","2024","07",14,2024-07-01,"Silver","0"
"223",113,2789,2816,2023-04-24,413.47,"Suite","2023-04","2023","04",24,2023-04-01,"Silver","0"
"224",114,7286,7354,2023-08-26,558.91,"Specialty Suite","2023-08","2023","08",26,2023-08-01,"Gold","1"
"225",114,1528,1538,2023-01-09,358.84,"Suite","2023-01","2023","01",9,2023-01-01,"Gold","1"
"226",114,13666,13802,2023-09-03,272.19,"Specialty Suite","2023-09","2023","09",3,2023-09-01,"Gold","1"
"227",114,12194,12313,2022-06-20,332.01,"Suite","2022-06","2022","06",20,2022-06-01,"Gold","1"
"228",114,2290,2309,2023-11-12,291.74,"Specialty Suite","2023-11","2023","11",12,2023-11-01,"Gold","1"
"229",114,4838,4879,2022-03-03,318.48,"Suite","2022-03","2022","03",3,2022-03-01,"Gold","1"
"230",114,8382,8461,2023-06-29,445.48,"Suite","2023-06","2023","06",29,2023-06-01,"Gold","1"
"231",115,3328,3358,2022-04-29,361.53,"Suite","2022-04","2022","04",29,2022-04-01,"Silver","0"
"232",115,4059,4095,2022-07-11,367.85,"Specialty Suite","2022-07","2022","07",11,2022-07-01,"Silver","0"
"233",116,11297,11412,2024-07-16,481.41,"Specialty Suite","2024-07","2024","07",16,2024-07-01,"Silver","1"
"234",116,6718,6781,2022-10-26,396.99,"Suite","2022-10","2022","10",26,2022-10-01,"Silver","1"
"235",116,4991,5032,2023-06-28,403.6,"Specialty Suite","2023-06","2023","06",28,2023-06-01,"Silver","1"
"236",116,3055,3084,2023-03-12,427.29,"Specialty Suite","2023-03","2023","03",12,2023-03-01,"Silver","1"
"237",117,14336,14480,2023-05-03,341.09,"Standard","2023-05","2023","05",3,2023-05-01,"Bronze","0"
"238",118,13539,13673,2023-10-18,193.99,"Suite","2023-10","2023","10",18,2023-10-01,"Silver","0"
"239",118,3238,3268,2023-12-17,332.59,"Premier","2023-12","2023","12",17,2023-12-01,"Silver","0"
"240",118,1302,1312,2022-08-10,357.94,"Premier","2022-08","2022","08",10,2022-08-01,"Silver","0"
"241",119,1990,2004,2023-12-08,473.85,"Suite","2023-12","2023","12",8,2023-12-01,"Bronze","0"
"242",120,1746,1758,2022-04-18,462.72,"Specialty Suite","2022-04","2022","04",18,2022-04-01,"Silver","0"
"243",120,12212,12332,2022-08-23,276.16,"Premier","2022-08","2022","08",23,2022-08-01,"Silver","0"
"244",120,4567,4607,2023-02-16,392.34,"Suite","2023-02","2023","02",16,2023-02-01,"Silver","0"
"245",121,3572,3602,2023-09-20,528.28,"Specialty Suite","2023-09","2023","09",20,2023-09-01,"Bronze","0"
"246",122,13283,13416,2024-07-04,307.2,"Premier","2024-07","2024","07",4,2024-07-01,"Silver","0"
"247",122,4090,4126,2023-06-26,375.52,"Premier","2023-06","2023","06",26,2023-06-01,"Silver","0"
"248",123,9530,9619,2022-02-21,327.84,"Premier","2022-02","2022","02",21,2022-02-01,"Bronze","0"
"249",125,13514,13648,2023-01-09,483.86,"Suite","2023-01","2023","01",9,2023-01-01,"Bronze","0"
"250",126,1696,1707,2022-11-22,474.86,"Specialty Suite","2022-11","2022","11",22,2022-11-01,"Silver","0"
