"","CustomerID","X.1","X","TransactionDate","Amount","ProductCategory","Month_Yr","Yr","Month","Day","Month_Yr_graph","final_category","HighValue"
"10792",5777,10963,11070,2023-04-07,349.96,"Premier","2023-04","2023","04",7,2023-04-01,"Silver","No"
"5332",2824,8871,8957,2022-09-05,315.06,"Specialty Suite","2022-09","2022","09",5,2022-09-01,"Silver","Yes"
"3000",1584,785,791,2023-09-08,424.86,"Specialty Suite","2023-09","2023","09",8,2023-09-01,"Silver","No"
"13507",7246,11417,11533,2022-03-29,171.21,"Premier","2022-03","2022","03",29,2022-03-01,"Silver","No"
"996",526,5293,5340,2023-01-30,449.08,"Suite","2023-01","2023","01",30,2023-01-01,"Bronze","No"
"3583",1899,4983,5024,2022-06-17,270.81,"Suite","2022-06","2022","06",17,2022-06-01,"Silver","No"
"479",235,14821,14970,2023-09-27,266.97,"Premier","2023-09","2023","09",27,2023-09-01,"Silver","No"
"11869",6345,6932,6997,2024-01-04,384.04,"Specialty Suite","2024-01","2024","01",4,2024-01-01,"Silver","Yes"
"634",326,9373,9461,2024-01-18,292.7,"Specialty Suite","2024-01","2024","01",18,2024-01-01,"Silver","Yes"
"13189",7083,8021,8097,2024-06-30,377.66,"Premier","2024-06","2024","06",30,2024-06-01,"Silver","No"
"578",295,8369,8447,2022-09-14,315.37,"Premier","2022-09","2022","09",14,2022-09-01,"Silver","No"
"3759",1990,4044,4080,2024-07-05,317.16,"Suite","2024-07","2024","07",5,2024-07-01,"Bronze","No"
"3496",1848,13967,14107,2022-03-30,300.63,"Specialty Suite","2022-03","2022","03",30,2022-03-01,"Silver","No"
"9595",5155,6279,6337,2023-10-28,481.69,"Suite","2023-10","2023","10",28,2023-10-01,"Silver","No"
"4052",2142,8852,8937,2022-02-15,420.66,"Specialty Suite","2022-02","2022","02",15,2022-02-01,"Silver","No"
"7984",4298,14265,14408,2020-05-30,325.27,"Standard","2020-05","2020","05",20,2020-05-01,"Silver","No"
"5228",2766,3231,3261,2023-07-17,507.29,"Suite","2023-07","2023","07",17,2023-07-01,"Silver","No"
"131",68,11837,11954,2023-11-09,248.48,"Specialty Suite","2023-11","2023","11",9,2023-11-01,"Bronze","No"
"11607",6199,7426,7495,2023-07-05,421.22,"Suite","2023-07","2023","07",5,2023-07-01,"Bronze","No"
"1014",533,9262,9350,2020-04-07,381.76,"Premier","2020-04","2020","04",20,2020-04-01,"Silver","No"
"4836",2551,13407,13541,2022-08-20,337.42,"Specialty Suite","2022-08","2022","08",20,2022-08-01,"Silver","No"
"3912",2066,12761,12889,2023-09-02,337.9,"Specialty Suite","2023-09","2023","09",2,2023-09-01,"Silver","No"
"14240",7654,7873,7948,2022-05-15,186.6,"Standard","2022-05","2022","05",15,2022-05-01,"Silver","No"
"298",155,5452,5501,2024-04-30,236.2,"Specialty Suite","2024-04","2024","04",30,2024-04-01,"Gold","Yes"
"10027",5395,5788,5839,2023-07-20,346.24,"Premier","2023-07","2023","07",20,2023-07-01,"Silver","No"
"258",128,5356,5403,2024-01-04,405.05,"Specialty Suite","2024-01","2024","01",4,2024-01-01,"Silver","No"
"79",41,14135,14278,2023-11-17,393.7,"Suite","2023-11","2023","11",17,2023-11-01,"Silver","No"
"11446",6115,11109,11218,2023-12-31,470.87,"Suite","2023-12","2023","12",31,2023-12-01,"Silver","No"
"6449",3454,2311,2331,2022-11-11,299.47,"Premier","2022-11","2022","11",11,2022-11-01,"Silver","No"
"7526",4028,13190,13322,2023-12-25,431.63,"Suite","2023-12","2023","12",25,2023-12-01,"Silver","No"
"2744",1458,11117,11227,2024-06-27,385.92,"Specialty Suite","2024-06","2024","06",27,2024-06-01,"Silver","No"
"4403",2326,12898,13027,2023-07-18,318.68,"Specialty Suite","2023-07","2023","07",18,2023-07-01,"Silver","No"
"902",479,7212,7280,2023-04-12,323.47,"Specialty Suite","2023-04","2023","04",12,2023-04-01,"Bronze","No"
"13533",7260,10908,11014,2022-01-03,266.46,"Premier","2022-01","2022","01",3,2022-01-01,"Silver","No"
"3808",2012,3974,4009,2023-11-08,244.98,"Suite","2023-11","2023","11",8,2023-11-01,"Gold","Yes"
"561",287,4843,4884,2022-04-06,356.35,"Standard","2022-04","2022","04",6,2022-04-01,"Silver","No"
"3385",1792,3587,3617,2023-08-11,408.58,"Specialty Suite","2023-08","2023","08",11,2023-08-01,"Silver","Yes"
"4232",2237,6501,6562,2022-04-01,341.98,"Specialty Suite","2022-04","2022","04",1,2022-04-01,"Silver","No"
"7962",4287,9143,9231,2023-08-20,307.42,"Standard","2023-08","2023","08",20,2023-08-01,"Silver","No"
"9361",5029,3541,3571,2023-08-08,266.92,"Premier","2023-08","2023","08",8,2023-08-01,"Silver","No"
"959",507,11809,11925,2023-04-10,264.7,"Standard","2023-04","2023","04",10,2023-04-01,"Silver","No"
"2171",1144,656,661,2023-03-29,452.91,"Suite","2023-03","2023","03",29,2023-03-01,"Silver","Yes"
"5896",3146,9276,9364,2022-07-02,388.2,"Premier","2022-07","2022","07",2,2022-07-01,"Gold","Yes"
"1258",660,13732,13868,2023-05-07,331.32,"Standard","2023-05","2023","05",7,2023-05-01,"Bronze","No"
"8800",4718,13081,13212,2022-03-20,400.57,"Specialty Suite","2022-03","2022","03",20,2022-03-01,"Silver","No"
"4591",2428,1412,1422,2024-05-03,365.1,"Standard","2024-05","2024","05",3,2024-05-01,"Bronze","No"
"4630",2446,4049,4085,2023-03-02,324.54,"Premier","2023-03","2023","03",2,2023-03-01,"Silver","No"
"11043",5908,13476,13610,2023-08-20,396.77,"Premier","2023-08","2023","08",20,2023-08-01,"Silver","No"
"11561",6178,4938,4979,2022-06-24,521.51,"Specialty Suite","2022-06","2022","06",24,2022-06-01,"Silver","No"
"14544",7821,7736,7809,2022-09-20,305.97,"Standard","2022-09","2022","09",20,2022-09-01,"Silver","No"
"9347",5020,6396,6454,2020-07-06,281.41,"Premier","2020-07","2020","07",20,2020-07-01,"Silver","No"
"2902",1534,10068,10162,2022-09-05,411.13,"Suite","2022-09","2022","09",5,2022-09-01,"Silver","Yes"
"12857",6917,10831,10936,2023-06-25,351.02,"Specialty Suite","2023-06","2023","06",25,2023-06-01,"Silver","No"
"9738",5230,12487,12613,2023-07-17,357.12,"Premier","2023-07","2023","07",17,2023-07-01,"Bronze","No"
"9143",4903,11130,11241,2023-04-02,416.96,"Specialty Suite","2023-04","2023","04",2,2023-04-01,"Silver","No"
"3990",2113,8426,8505,2023-01-31,442.72,"Premier","2023-01","2023","01",31,2023-01-01,"Silver","No"
"10488",5629,11853,11970,2023-03-19,495.9,"Premier","2023-03","2023","03",19,2023-03-01,"Silver","No"
"9581",5148,13326,13460,2023-12-14,313.04,"Premier","2023-12","2023","12",14,2023-12-01,"Bronze","No"
"10905",5836,12152,12271,2020-03-03,304.44,"Premier","2020-03","2020","03",20,2020-03-01,"Silver","No"
"9859",5295,3501,3531,2022-10-05,309.61,"Standard","2022-10","2022","10",5,2022-10-01,"Bronze","No"
"8787",4708,8967,9053,2022-04-28,363.22,"Specialty Suite","2022-04","2022","04",28,2022-04-01,"Bronze","No"
"8626",4628,12803,12932,2022-03-28,297.53,"Specialty Suite","2022-03","2022","03",28,2022-03-01,"Gold","Yes"
"6901",3704,6232,6287,2024-07-22,301.39,"Premier","2024-07","2024","07",22,2024-07-01,"Bronze","No"
"760",393,13978,14118,2022-07-22,445.88,"Suite","2022-07","2022","07",22,2022-07-01,"Bronze","No"
"3290",1743,6412,6471,2022-11-23,240.26,"Specialty Suite","2022-11","2022","11",23,2022-11-01,"Silver","No"
"1751",939,14457,14603,2024-05-05,373.25,"Specialty Suite","2024-05","2024","05",5,2024-05-01,"Gold","Yes"
"3910",2064,3134,3163,2022-05-04,450.63,"Suite","2022-05","2022","05",4,2022-05-01,"Silver","No"
"2324",1228,6707,6768,2023-04-12,303.84,"Specialty Suite","2023-04","2023","04",12,2023-04-01,"Bronze","No"
"4265",2254,12814,12943,2023-03-22,493.12,"Standard","2023-03","2023","03",22,2023-03-01,"Silver","No"
"1983",1048,9982,10076,2024-04-17,449.05,"Premier","2024-04","2024","04",17,2024-04-01,"Silver","No"
"13383",7185,8793,8878,2020-01-09,455.71,"Specialty Suite","2020-01","2020","01",20,2020-01-01,"Silver","Yes"
"8765",4700,1358,1368,2024-05-13,410.19,"Suite","2024-05","2024","05",13,2024-05-01,"Silver","No"
"4960",2621,110,110,2022-04-21,366.16,"Specialty Suite","2022-04","2022","04",21,2022-04-01,"Silver","No"
"10163",5457,2038,2054,2022-04-07,357.98,"Standard","2022-04","2022","04",7,2022-04-01,"Silver","Yes"
"8518",4578,6694,6755,2023-05-12,446.57,"Suite","2023-05","2023","05",12,2023-05-01,"Bronze","No"
"12159",6512,3050,3079,2023-05-14,340.41,"Suite","2023-05","2023","05",14,2023-05-01,"Silver","No"
"2533",1334,7269,7337,2022-10-16,356.23,"Standard","2022-10","2022","10",16,2022-10-01,"Gold","Yes"
"13979",7513,3475,3505,2024-03-14,347.07,"Premier","2024-03","2024","03",14,2024-03-01,"Silver","No"
"6604",3551,6355,6413,2023-06-12,339.01,"Premier","2023-06","2023","06",12,2023-06-01,"Silver","Yes"
"13128",7047,9810,9902,2023-02-19,345.13,"Specialty Suite","2023-02","2023","02",19,2023-02-01,"Silver","Yes"
"14816",7982,13022,13153,2022-05-11,476.81,"Suite","2022-05","2022","05",11,2022-05-01,"Silver","No"
"14396",7738,9297,9385,2022-09-11,299.68,"Standard","2022-09","2022","09",11,2022-09-01,"Bronze","No"
"10689",5727,8664,8746,2022-12-10,275.7,"Premier","2022-12","2022","12",10,2022-12-01,"Gold","Yes"
"12836",6907,13389,13523,2022-12-10,468.98,"Suite","2022-12","2022","12",10,2022-12-01,"Silver","No"
"1911",1011,6965,7030,2022-11-17,277.67,"Specialty Suite","2022-11","2022","11",17,2022-11-01,"Silver","No"
"8092",4357,12620,12747,2022-04-05,257.65,"Premier","2022-04","2022","04",5,2022-04-01,"Silver","No"
"3091",1633,8100,8176,2022-09-18,381.64,"Premier","2022-09","2022","09",18,2022-09-01,"Silver","No"
"10878",5823,3817,3851,2024-04-30,409,"Suite","2024-04","2024","04",30,2024-04-01,"Silver","No"
"12607",6758,12941,13071,2023-09-18,347.98,"Specialty Suite","2023-09","2023","09",18,2023-09-01,"Silver","No"
"2193",1155,14122,14265,2023-07-25,350.86,"Specialty Suite","2023-07","2023","07",25,2023-07-01,"Silver","No"
"102",53,10788,10892,2022-11-02,460.6,"Suite","2022-11","2022","11",2,2022-11-01,"Silver","No"
"214",110,12035,12152,2024-01-30,360.28,"Suite","2024-01","2024","01",30,2024-01-01,"Silver","No"
"4486",2375,4342,4379,2022-12-09,404.89,"Suite","2022-12","2022","12",9,2022-12-01,"Silver","No"
"13909",7467,2393,2416,2022-01-13,420.95,"Specialty Suite","2022-01","2022","01",13,2022-01-01,"Bronze","No"
"8789",4711,13002,13133,2022-12-13,452.09,"Suite","2022-12","2022","12",13,2022-12-01,"Bronze","No"
"8352",4495,6721,6784,2023-06-05,335.63,"Standard","2023-06","2023","06",5,2023-06-01,"Silver","Yes"
"11341",6065,4365,4402,2023-05-14,266.91,"Standard","2023-05","2023","05",14,2023-05-01,"Gold","Yes"
"10769",5768,11915,12032,2023-04-13,267.88,"Premier","2023-04","2023","04",13,2023-04-01,"Silver","No"
"14274",7677,3624,3656,2022-06-06,444.07,"Specialty Suite","2022-06","2022","06",6,2022-06-01,"Silver","No"
"10366",5559,400,403,2024-03-09,419.5,"Suite","2024-03","2024","03",9,2024-03-01,"Silver","No"
"6406",3423,6784,6847,2024-01-30,242.7,"Specialty Suite","2024-01","2024","01",30,2024-01-01,"Silver","No"
"8634",4634,4286,4323,2024-02-06,371.46,"Specialty Suite","2024-02","2024","02",6,2024-02-01,"Silver","Yes"
"7810",4195,4177,4214,2022-12-06,525.96,"Specialty Suite","2022-12","2022","12",6,2022-12-01,"Silver","No"
"181",91,12439,12563,2022-12-24,439,"Specialty Suite","2022-12","2022","12",24,2022-12-01,"Silver","No"
"4875",2573,8139,8215,2023-03-21,241.42,"Standard","2023-03","2023","03",21,2023-03-01,"Silver","Yes"
"7012",3765,11232,11346,2023-08-04,341.35,"Standard","2023-08","2023","08",4,2023-08-01,"Silver","No"
"8355",4496,10944,11051,2023-08-21,358.56,"Specialty Suite","2023-08","2023","08",21,2023-08-01,"Silver","No"
"4324",2284,4921,4962,2024-05-31,306,"Specialty Suite","2024-05","2024","05",31,2024-05-01,"Silver","No"
"5034",2656,12859,12988,2022-08-04,411.24,"Suite","2022-08","2022","08",4,2022-08-01,"Gold","Yes"
"12390",6640,1539,1549,2022-08-16,402.22,"Suite","2022-08","2022","08",16,2022-08-01,"Silver","No"
"5385",2855,12670,12797,2024-03-06,507.06,"Suite","2024-03","2024","03",6,2024-03-01,"Silver","No"
"6571",3536,11106,11215,2022-05-16,327.8,"Standard","2022-05","2022","05",16,2022-05-01,"Silver","No"
"6678",3594,8345,8423,2023-05-19,392.35,"Premier","2023-05","2023","05",19,2023-05-01,"Silver","No"
"8232",4436,14692,14841,2022-10-25,389.11,"Premier","2022-10","2022","10",25,2022-10-01,"Silver","No"
"3613",1914,2562,2586,2024-04-21,298.8,"Specialty Suite","2024-04","2024","04",21,2024-04-01,"Silver","Yes"
"11761",6287,8200,8276,2020-02-13,326.42,"Specialty Suite","2020-02","2020","02",20,2020-02-01,"Silver","No"
"4973",2628,9917,10011,2023-03-22,284.28,"Standard","2023-03","2023","03",22,2023-03-01,"Silver","No"
"11961",6400,4389,4427,2024-06-14,313.52,"Specialty Suite","2024-06","2024","06",14,2024-06-01,"Bronze","No"
"5570",2956,13999,14140,2022-07-16,456.7,"Specialty Suite","2022-07","2022","07",16,2022-07-01,"Silver","No"
"8998",4828,5226,5273,2022-11-13,442.42,"Premier","2022-11","2022","11",13,2022-11-01,"Silver","No"
"11864",6342,1419,1429,2022-10-03,399.47,"Specialty Suite","2022-10","2022","10",3,2022-10-01,"Silver","No"
"4766",2513,12069,12187,2023-10-21,340.03,"Standard","2023-10","2023","10",21,2023-10-01,"Silver","Yes"
"3435",1817,7028,7094,2022-08-12,379.18,"Specialty Suite","2022-08","2022","08",12,2022-08-01,"Silver","No"
"4934",2604,2890,2917,2023-12-19,456.51,"Suite","2023-12","2023","12",19,2023-12-01,"Bronze","No"
"478",235,10088,10182,2022-03-04,383.58,"Specialty Suite","2022-03","2022","03",4,2022-03-01,"Silver","No"
"5523",2937,9856,9949,2023-02-12,320.87,"Standard","2023-02","2023","02",12,2023-02-01,"Bronze","No"
"13687",7345,3500,3530,2024-04-16,501.39,"Specialty Suite","2024-04","2024","04",16,2024-04-01,"Silver","No"
"11599",6194,3786,3820,2020-10-10,321.65,"Premier","2020-10","2020","10",20,2020-10-01,"Silver","No"
"6133",3285,9270,9358,2023-09-14,387.94,"Premier","2023-09","2023","09",14,2023-09-01,"Silver","No"
"598",306,8344,8422,2023-03-19,269.22,"Premier","2023-03","2023","03",19,2023-03-01,"Silver","No"
"11406",6096,2188,2206,2024-06-04,406.16,"Suite","2024-06","2024","06",4,2024-06-01,"Silver","No"
"3991",2113,3156,3185,2022-03-12,435.19,"Standard","2022-03","2022","03",12,2022-03-01,"Silver","No"
"7612",4081,8165,8241,2022-05-07,269.22,"Specialty Suite","2022-05","2022","05",7,2022-05-01,"Silver","No"
"3475",1836,4067,4103,2024-05-04,235.5,"Premier","2024-05","2024","05",4,2024-05-01,"Silver","No"
"6215",3326,6949,7014,2022-02-14,395.28,"Standard","2022-02","2022","02",14,2022-02-01,"Silver","Yes"
"6601",3551,6227,6282,2022-07-07,515.64,"Premier","2022-07","2022","07",7,2022-07-01,"Silver","Yes"
"4987",2634,12223,12343,2022-07-31,346.75,"Suite","2022-07","2022","07",31,2022-07-01,"Silver","No"
"13500",7243,140,141,2022-06-14,409.43,"Standard","2022-06","2022","06",14,2022-06-01,"Bronze","No"
"1456",771,7902,7977,2023-11-05,269.8,"Specialty Suite","2023-11","2023","11",5,2023-11-01,"Bronze","No"
"6011",3218,11903,12020,2022-09-18,483.22,"Specialty Suite","2022-09","2022","09",18,2022-09-01,"Bronze","No"
"8680",4654,752,758,2023-10-07,371.77,"Premier","2023-10","2023","10",7,2023-10-01,"Silver","Yes"
"3939",2082,6293,6351,2023-04-28,413.21,"Suite","2023-04","2023","04",28,2023-04-01,"Bronze","No"
"9104",4883,12583,12710,2022-05-27,252.61,"Suite","2022-05","2022","05",27,2022-05-01,"Silver","No"
"8407",4518,2940,2968,2023-03-01,288.75,"Premier","2023-03","2023","03",1,2023-03-01,"Silver","No"
"8732",4686,8539,8621,2022-11-12,196.1,"Premier","2022-11","2022","11",12,2022-11-01,"Bronze","No"
"3938",2081,8548,8630,2022-06-28,183.35,"Specialty Suite","2022-06","2022","06",28,2022-06-01,"Silver","No"
"4709",2487,7553,7622,2023-08-02,222.48,"Specialty Suite","2023-08","2023","08",2,2023-08-01,"Silver","Yes"
"5552",2949,13114,13245,2024-02-19,307.4,"Premier","2024-02","2024","02",19,2024-02-01,"Silver","Yes"
"9123",4893,14069,14212,2023-09-08,389.1,"Specialty Suite","2023-09","2023","09",8,2023-09-01,"Silver","No"
"10536",5657,13987,14127,2022-12-21,203.25,"Standard","2022-12","2022","12",21,2022-12-01,"Silver","No"
"1859",980,13745,13881,2022-10-24,455.27,"Specialty Suite","2022-10","2022","10",24,2022-10-01,"Silver","No"
"4424",2341,12984,13114,2023-08-25,287.11,"Premier","2023-08","2023","08",25,2023-08-01,"Bronze","No"
"1171",618,5543,5593,2022-01-17,366.44,"Standard","2022-01","2022","01",17,2022-01-01,"Silver","Yes"
"1725",926,4284,4321,2024-06-23,267.28,"Standard","2024-06","2024","06",23,2024-06-01,"Bronze","No"
"3780",2001,14645,14792,2024-03-17,485.52,"Suite","2024-03","2024","03",17,2024-03-01,"Silver","No"
"10104",5432,4617,4657,2022-10-02,170.39,"Specialty Suite","2022-10","2022","10",2,2022-10-01,"Silver","No"
"13396",7192,13471,13605,2023-02-26,257.96,"Premier","2023-02","2023","02",26,2023-02-01,"Silver","No"
"4346",2295,6421,6480,2022-01-16,352.25,"Premier","2022-01","2022","01",16,2022-01-01,"Bronze","No"
"1991",1051,952,959,2022-12-23,354.02,"Specialty Suite","2022-12","2022","12",23,2022-12-01,"Silver","No"
"12128",6494,2421,2444,2022-06-30,330.81,"Premier","2022-06","2022","06",30,2022-06-01,"Bronze","No"
"529",270,11309,11424,2022-11-29,382.63,"Specialty Suite","2022-11","2022","11",29,2022-11-01,"Silver","No"
"4377",2313,4767,4808,2023-03-17,344.38,"Standard","2023-03","2023","03",17,2023-03-01,"Silver","No"
"11939",6384,1861,1874,2024-02-05,486.71,"Specialty Suite","2024-02","2024","02",5,2024-02-01,"Silver","No"
"9090",4875,14214,14357,2022-03-06,335.88,"Suite","2022-03","2022","03",6,2022-03-01,"Silver","No"
"13157",7061,12230,12351,2023-03-18,358.21,"Standard","2023-03","2023","03",18,2023-03-01,"Silver","Yes"
"6575",3537,11868,11985,2023-12-16,348.62,"Specialty Suite","2023-12","2023","12",16,2023-12-01,"Silver","No"
"11294",6036,8902,8988,2022-01-01,201.1,"Premier","2022-01","2022","01",1,2022-01-01,"Bronze","No"
"2058",1080,10040,10134,2023-02-15,237.76,"Standard","2023-02","2023","02",15,2023-02-01,"Bronze","No"
"534",272,13922,14061,2022-12-31,429.78,"Suite","2022-12","2022","12",31,2022-12-01,"Silver","No"
"5561",2951,8017,8093,2024-03-24,229.52,"Premier","2024-03","2024","03",24,2024-03-01,"Silver","No"
"8753",4693,2131,2149,2022-04-23,326.05,"Standard","2022-04","2022","04",23,2022-04-01,"Silver","Yes"
"3417",1809,2051,2067,2023-04-03,296.93,"Premier","2023-04","2023","04",3,2023-04-01,"Silver","No"
"5712",3036,9972,10066,2024-03-01,227.11,"Standard","2024-03","2024","03",1,2024-03-01,"Silver","No"
"585",299,626,631,2024-05-27,317.91,"Specialty Suite","2024-05","2024","05",27,2024-05-01,"Silver","No"
"3084",1629,12837,12966,2023-03-02,373.77,"Suite","2023-03","2023","03",2,2023-03-01,"Silver","Yes"
"4389",2320,10366,10466,2024-02-11,399.2,"Standard","2024-02","2024","02",11,2024-02-01,"Silver","No"
"6993",3754,3919,3953,2022-08-17,300.78,"Premier","2022-08","2022","08",17,2022-08-01,"Bronze","No"
"3779",2000,9100,9188,2023-09-19,454.37,"Suite","2023-09","2023","09",19,2023-09-01,"Bronze","No"
"4399",2324,11053,11162,2023-01-10,480.17,"Suite","2023-01","2023","01",10,2023-01-01,"Silver","No"
"13910",7468,10720,10823,2022-07-08,273.24,"Premier","2022-07","2022","07",8,2022-07-01,"Silver","No"
"3750",1984,1962,1975,2023-12-30,347.19,"Specialty Suite","2023-12","2023","12",30,2023-12-01,"Silver","No"
"11411",6099,12958,13088,2023-03-27,331.06,"Standard","2023-03","2023","03",27,2023-03-01,"Silver","No"
"14231",7652,6041,6095,2023-02-19,456.38,"Specialty Suite","2023-02","2023","02",19,2023-02-01,"Silver","No"
"12395",6643,7320,7388,2022-01-03,391.29,"Premier","2022-01","2022","01",3,2022-01-01,"Silver","No"
"1542",822,11512,11628,2023-04-13,383.85,"Premier","2023-04","2023","04",13,2023-04-01,"Silver","No"
"4871",2572,13623,13758,2022-11-03,445.05,"Suite","2022-11","2022","11",3,2022-11-01,"Silver","No"
"14152",7604,7749,7822,2022-09-11,239.28,"Specialty Suite","2022-09","2022","09",11,2022-09-01,"Silver","No"
"3076",1625,7676,7746,2022-01-09,333.92,"Specialty Suite","2022-01","2022","01",9,2022-01-01,"Silver","No"
"2091",1100,90,90,2024-02-05,251.14,"Premier","2024-02","2024","02",5,2024-02-01,"Silver","No"
"6333",3387,8303,8380,2023-10-27,225.31,"Specialty Suite","2023-10","2023","10",27,2023-10-01,"Silver","No"
"911",485,12645,12772,2022-03-22,290.97,"Premier","2022-03","2022","03",22,2022-03-01,"Silver","No"
"1937",1025,974,981,2024-03-10,295.4,"Standard","2024-03","2024","03",10,2024-03-01,"Silver","No"
"4267",2255,6951,7016,2022-06-13,289.67,"Specialty Suite","2022-06","2022","06",13,2022-06-01,"Silver","No"
"4135",2186,13127,13258,2023-12-04,432.18,"Suite","2023-12","2023","12",4,2023-12-01,"Silver","No"
"810",421,12965,13095,2022-08-16,465.42,"Specialty Suite","2022-08","2022","08",16,2022-08-01,"Silver","No"
"216",111,10162,10256,2024-04-22,444.58,"Suite","2024-04","2024","04",22,2024-04-01,"Silver","Yes"
"5867",3131,5656,5707,2024-03-02,245.89,"Premier","2024-03","2024","03",2,2024-03-01,"Bronze","No"
"1315",699,6561,6622,2023-08-20,345.15,"Specialty Suite","2023-08","2023","08",20,2023-08-01,"Silver","No"
"6202",3319,11802,11918,2023-10-15,512.43,"Suite","2023-10","2023","10",15,2023-10-01,"Silver","Yes"
"1938",1025,7600,7670,2024-03-08,353.65,"Specialty Suite","2024-03","2024","03",8,2024-03-01,"Silver","No"
"6539",3510,14585,14732,2023-09-15,431.19,"Specialty Suite","2023-09","2023","09",15,2023-09-01,"Silver","No"
"1208",637,14726,14875,2022-11-29,437.72,"Presidential","2022-11","2022","11",29,2022-11-01,"Silver","No"
"7905",4256,727,733,2022-07-16,369.81,"Standard","2022-07","2022","07",16,2022-07-01,"Silver","No"
"6600",3551,11046,11155,2024-01-24,327.91,"Standard","2024-01","2024","01",24,2024-01-01,"Silver","Yes"
"1046",554,10147,10241,2024-03-04,274.61,"Standard","2024-03","2024","03",4,2024-03-01,"Silver","No"
"3242",1714,6386,6444,2022-12-23,360.75,"Premier","2022-12","2022","12",23,2022-12-01,"Silver","No"
"7028",3773,13826,13962,2023-12-08,399.84,"Premier","2023-12","2023","12",8,2023-12-01,"Silver","No"
"588",300,3535,3565,2022-03-12,449.53,"Suite","2022-03","2022","03",12,2022-03-01,"Silver","No"
"8255",4450,3955,3990,2022-02-25,446.32,"Specialty Suite","2022-02","2022","02",25,2022-02-01,"Silver","No"
"14626",7870,13964,14104,2024-03-20,333.94,"Specialty Suite","2024-03","2024","03",20,2024-03-01,"Silver","No"
"1684",901,11125,11235,2023-10-03,447.15,"Premier","2023-10","2023","10",3,2023-10-01,"Silver","No"
"417",206,11791,11907,2023-07-27,323.53,"Specialty Suite","2023-07","2023","07",27,2023-07-01,"Silver","Yes"
"4669",2466,1046,1055,2022-09-04,409.44,"Specialty Suite","2022-09","2022","09",4,2022-09-01,"Silver","No"
"2934",1548,12177,12296,2024-01-27,317.97,"Standard","2024-01","2024","01",27,2024-01-01,"Silver","No"
"1094",577,1984,1998,2022-07-20,279.23,"Premier","2022-07","2022","07",20,2022-07-01,"Silver","No"
